FE,N,Eval,lambda,Iteration,Alg
69773,10,Ellips10,400,1,cma-es-ppmf-dp-2-pt-0.1
80159,10,Ellips10,500,1,cma-es-ppmf-dp-2-pt-0.1
21779,30,Ellips10,10,1,cma-es-ppmf-dp-2-pt-0.1
300032,30,Ellips10,50,1,cma-es-ppmf-dp-2-pt-0.1
300070,30,Ellips10,100,1,cma-es-ppmf-dp-2-pt-0.1
300092,30,Ellips10,200,1,cma-es-ppmf-dp-2-pt-0.1
300096,30,Ellips10,300,1,cma-es-ppmf-dp-2-pt-0.1
300348,30,Ellips10,400,1,cma-es-ppmf-dp-2-pt-0.1
300098,30,Ellips10,500,1,cma-es-ppmf-dp-2-pt-0.1
3453,2,Ellips100,10,1,cma-es-ppmf-dp-2-pt-0.1
4844,2,Ellips100,50,1,cma-es-ppmf-dp-2-pt-0.1
6665,2,Ellips100,100,1,cma-es-ppmf-dp-2-pt-0.1
10451,2,Ellips100,200,1,cma-es-ppmf-dp-2-pt-0.1
14447,2,Ellips100,300,1,cma-es-ppmf-dp-2-pt-0.1
18044,2,Ellips100,400,1,cma-es-ppmf-dp-2-pt-0.1
20039,2,Ellips100,500,1,cma-es-ppmf-dp-2-pt-0.1
13265,5,Ellips100,10,1,cma-es-ppmf-dp-2-pt-0.1
13208,5,Ellips100,50,1,cma-es-ppmf-dp-2-pt-0.1
16159,5,Ellips100,100,1,cma-es-ppmf-dp-2-pt-0.1
22511,5,Ellips100,200,1,cma-es-ppmf-dp-2-pt-0.1
28895,5,Ellips100,300,1,cma-es-ppmf-dp-2-pt-0.1
35287,5,Ellips100,400,1,cma-es-ppmf-dp-2-pt-0.1
41582,5,Ellips100,500,1,cma-es-ppmf-dp-2-pt-0.1
51699,10,Ellips100,10,1,cma-es-ppmf-dp-2-pt-0.1
43553,10,Ellips100,50,1,cma-es-ppmf-dp-2-pt-0.1
45752,10,Ellips100,100,1,cma-es-ppmf-dp-2-pt-0.1
54068,10,Ellips100,200,1,cma-es-ppmf-dp-2-pt-0.1
62908,10,Ellips100,300,1,cma-es-ppmf-dp-2-pt-0.1
71778,10,Ellips100,400,1,cma-es-ppmf-dp-2-pt-0.1
81662,10,Ellips100,500,1,cma-es-ppmf-dp-2-pt-0.1
300002,30,Ellips100,10,1,cma-es-ppmf-dp-2-pt-0.1
300032,30,Ellips100,50,1,cma-es-ppmf-dp-2-pt-0.1
300070,30,Ellips100,100,1,cma-es-ppmf-dp-2-pt-0.1
300092,30,Ellips100,200,1,cma-es-ppmf-dp-2-pt-0.1
300096,30,Ellips100,300,1,cma-es-ppmf-dp-2-pt-0.1
300348,30,Ellips100,400,1,cma-es-ppmf-dp-2-pt-0.1
300098,30,Ellips100,500,1,cma-es-ppmf-dp-2-pt-0.1
3376,2,Sphere,10,2,cma-es-ppmf-dp-2-pt-0.1
4487,2,Sphere,50,2,cma-es-ppmf-dp-2-pt-0.1
6463,2,Sphere,100,2,cma-es-ppmf-dp-2-pt-0.1
10049,2,Sphere,200,2,cma-es-ppmf-dp-2-pt-0.1
13544,2,Sphere,300,2,cma-es-ppmf-dp-2-pt-0.1
17242,2,Sphere,400,2,cma-es-ppmf-dp-2-pt-0.1
20039,2,Sphere,500,2,cma-es-ppmf-dp-2-pt-0.1
13056,5,Sphere,10,2,cma-es-ppmf-dp-2-pt-0.1
12851,5,Sphere,50,2,cma-es-ppmf-dp-2-pt-0.1
15351,5,Sphere,100,2,cma-es-ppmf-dp-2-pt-0.1
21506,5,Sphere,200,2,cma-es-ppmf-dp-2-pt-0.1
27390,5,Sphere,300,2,cma-es-ppmf-dp-2-pt-0.1
33282,5,Sphere,400,2,cma-es-ppmf-dp-2-pt-0.1
39077,5,Sphere,500,2,cma-es-ppmf-dp-2-pt-0.1
49356,10,Sphere,10,2,cma-es-ppmf-dp-2-pt-0.1
41972,10,Sphere,50,2,cma-es-ppmf-dp-2-pt-0.1
43530,10,Sphere,100,2,cma-es-ppmf-dp-2-pt-0.1
51656,10,Sphere,200,2,cma-es-ppmf-dp-2-pt-0.1
59898,10,Sphere,300,2,cma-es-ppmf-dp-2-pt-0.1
68971,10,Sphere,400,2,cma-es-ppmf-dp-2-pt-0.1
78155,10,Sphere,500,2,cma-es-ppmf-dp-2-pt-0.1
300002,30,Sphere,10,2,cma-es-ppmf-dp-2-pt-0.1
300032,30,Sphere,50,2,cma-es-ppmf-dp-2-pt-0.1
300070,30,Sphere,100,2,cma-es-ppmf-dp-2-pt-0.1
300092,30,Sphere,200,2,cma-es-ppmf-dp-2-pt-0.1
300096,30,Sphere,300,2,cma-es-ppmf-dp-2-pt-0.1
300348,30,Sphere,400,2,cma-es-ppmf-dp-2-pt-0.1
300098,30,Sphere,500,2,cma-es-ppmf-dp-2-pt-0.1
3453,2,Ellips10,10,2,cma-es-ppmf-dp-2-pt-0.1
4793,2,Ellips10,50,2,cma-es-ppmf-dp-2-pt-0.1
6665,2,Ellips10,100,2,cma-es-ppmf-dp-2-pt-0.1
10250,2,Ellips10,200,2,cma-es-ppmf-dp-2-pt-0.1
14447,2,Ellips10,300,2,cma-es-ppmf-dp-2-pt-0.1
17643,2,Ellips10,400,2,cma-es-ppmf-dp-2-pt-0.1
20039,2,Ellips10,500,2,cma-es-ppmf-dp-2-pt-0.1
13342,5,Ellips10,10,2,cma-es-ppmf-dp-2-pt-0.1
12851,5,Ellips10,50,2,cma-es-ppmf-dp-2-pt-0.1
15755,5,Ellips10,100,2,cma-es-ppmf-dp-2-pt-0.1
22109,5,Ellips10,200,2,cma-es-ppmf-dp-2-pt-0.1
27691,5,Ellips10,300,2,cma-es-ppmf-dp-2-pt-0.1
34485,5,Ellips10,400,2,cma-es-ppmf-dp-2-pt-0.1
40580,5,Ellips10,500,2,cma-es-ppmf-dp-2-pt-0.1
50181,10,Ellips10,10,2,cma-es-ppmf-dp-2-pt-0.1
42431,10,Ellips10,50,2,cma-es-ppmf-dp-2-pt-0.1
44237,10,Ellips10,100,2,cma-es-ppmf-dp-2-pt-0.1
52460,10,Ellips10,200,2,cma-es-ppmf-dp-2-pt-0.1
61403,10,Ellips10,300,2,cma-es-ppmf-dp-2-pt-0.1
70174,10,Ellips10,400,2,cma-es-ppmf-dp-2-pt-0.1
79157,10,Ellips10,500,2,cma-es-ppmf-dp-2-pt-0.1
300002,30,Ellips10,10,2,cma-es-ppmf-dp-2-pt-0.1
300032,30,Ellips10,50,2,cma-es-ppmf-dp-2-pt-0.1
300070,30,Ellips10,100,2,cma-es-ppmf-dp-2-pt-0.1
300092,30,Ellips10,200,2,cma-es-ppmf-dp-2-pt-0.1
300096,30,Ellips10,300,2,cma-es-ppmf-dp-2-pt-0.1
300348,30,Ellips10,400,2,cma-es-ppmf-dp-2-pt-0.1
300098,30,Ellips10,500,2,cma-es-ppmf-dp-2-pt-0.1
3618,2,Ellips100,10,2,cma-es-ppmf-dp-2-pt-0.1
4997,2,Ellips100,50,2,cma-es-ppmf-dp-2-pt-0.1
6867,2,Ellips100,100,2,cma-es-ppmf-dp-2-pt-0.1
10451,2,Ellips100,200,2,cma-es-ppmf-dp-2-pt-0.1
14447,2,Ellips100,300,2,cma-es-ppmf-dp-2-pt-0.1
18044,2,Ellips100,400,2,cma-es-ppmf-dp-2-pt-0.1
20039,2,Ellips100,500,2,cma-es-ppmf-dp-2-pt-0.1
13606,5,Ellips100,10,2,cma-es-ppmf-dp-2-pt-0.1
13259,5,Ellips100,50,2,cma-es-ppmf-dp-2-pt-0.1
16159,5,Ellips100,100,2,cma-es-ppmf-dp-2-pt-0.1
22109,5,Ellips100,200,2,cma-es-ppmf-dp-2-pt-0.1
28895,5,Ellips100,300,2,cma-es-ppmf-dp-2-pt-0.1
34886,5,Ellips100,400,2,cma-es-ppmf-dp-2-pt-0.1
41081,5,Ellips100,500,2,cma-es-ppmf-dp-2-pt-0.1
51919,10,Ellips100,10,2,cma-es-ppmf-dp-2-pt-0.1
43961,10,Ellips100,50,2,cma-es-ppmf-dp-2-pt-0.1
45550,10,Ellips100,100,2,cma-es-ppmf-dp-2-pt-0.1
53465,10,Ellips100,200,2,cma-es-ppmf-dp-2-pt-0.1
63209,10,Ellips100,300,2,cma-es-ppmf-dp-2-pt-0.1
71778,10,Ellips100,400,2,cma-es-ppmf-dp-2-pt-0.1
81662,10,Ellips100,500,2,cma-es-ppmf-dp-2-pt-0.1
24969,30,Ellips100,10,2,cma-es-ppmf-dp-2-pt-0.1
300032,30,Ellips100,50,2,cma-es-ppmf-dp-2-pt-0.1
300070,30,Ellips100,100,2,cma-es-ppmf-dp-2-pt-0.1
300092,30,Ellips100,200,2,cma-es-ppmf-dp-2-pt-0.1
300096,30,Ellips100,300,2,cma-es-ppmf-dp-2-pt-0.1
300348,30,Ellips100,400,2,cma-es-ppmf-dp-2-pt-0.1
300098,30,Ellips100,500,2,cma-es-ppmf-dp-2-pt-0.1
3354,2,Sphere,10,3,cma-es-ppmf-dp-2-pt-0.1
4640,2,Sphere,50,3,cma-es-ppmf-dp-2-pt-0.1
6463,2,Sphere,100,3,cma-es-ppmf-dp-2-pt-0.1
10250,2,Sphere,200,3,cma-es-ppmf-dp-2-pt-0.1
13544,2,Sphere,300,3,cma-es-ppmf-dp-2-pt-0.1
16841,2,Sphere,400,3,cma-es-ppmf-dp-2-pt-0.1
20039,2,Sphere,500,3,cma-es-ppmf-dp-2-pt-0.1
13023,5,Sphere,10,3,cma-es-ppmf-dp-2-pt-0.1
12749,5,Sphere,50,3,cma-es-ppmf-dp-2-pt-0.1
15452,5,Sphere,100,3,cma-es-ppmf-dp-2-pt-0.1
21305,5,Sphere,200,3,cma-es-ppmf-dp-2-pt-0.1
27390,5,Sphere,300,3,cma-es-ppmf-dp-2-pt-0.1
33683,5,Sphere,400,3,cma-es-ppmf-dp-2-pt-0.1
39578,5,Sphere,500,3,cma-es-ppmf-dp-2-pt-0.1
49818,10,Sphere,10,3,cma-es-ppmf-dp-2-pt-0.1
41717,10,Sphere,50,3,cma-es-ppmf-dp-2-pt-0.1
43530,10,Sphere,100,3,cma-es-ppmf-dp-2-pt-0.1
51455,10,Sphere,200,3,cma-es-ppmf-dp-2-pt-0.1
60199,10,Sphere,300,3,cma-es-ppmf-dp-2-pt-0.1
68570,10,Sphere,400,3,cma-es-ppmf-dp-2-pt-0.1
78155,10,Sphere,500,3,cma-es-ppmf-dp-2-pt-0.1
300002,30,Sphere,10,3,cma-es-ppmf-dp-2-pt-0.1
300032,30,Sphere,50,3,cma-es-ppmf-dp-2-pt-0.1
300070,30,Sphere,100,3,cma-es-ppmf-dp-2-pt-0.1
300092,30,Sphere,200,3,cma-es-ppmf-dp-2-pt-0.1
300096,30,Sphere,300,3,cma-es-ppmf-dp-2-pt-0.1
300348,30,Sphere,400,3,cma-es-ppmf-dp-2-pt-0.1
300098,30,Sphere,500,3,cma-es-ppmf-dp-2-pt-0.1
3464,2,Ellips10,10,3,cma-es-ppmf-dp-2-pt-0.1
4691,2,Ellips10,50,3,cma-es-ppmf-dp-2-pt-0.1
6564,2,Ellips10,100,3,cma-es-ppmf-dp-2-pt-0.1
10250,2,Ellips10,200,3,cma-es-ppmf-dp-2-pt-0.1
13845,2,Ellips10,300,3,cma-es-ppmf-dp-2-pt-0.1
17242,2,Ellips10,400,3,cma-es-ppmf-dp-2-pt-0.1
20039,2,Ellips10,500,3,cma-es-ppmf-dp-2-pt-0.1
13397,5,Ellips10,10,3,cma-es-ppmf-dp-2-pt-0.1
12851,5,Ellips10,50,3,cma-es-ppmf-dp-2-pt-0.1
15654,5,Ellips10,100,3,cma-es-ppmf-dp-2-pt-0.1
21908,5,Ellips10,200,3,cma-es-ppmf-dp-2-pt-0.1
27992,5,Ellips10,300,3,cma-es-ppmf-dp-2-pt-0.1
33683,5,Ellips10,400,3,cma-es-ppmf-dp-2-pt-0.1
40079,5,Ellips10,500,3,cma-es-ppmf-dp-2-pt-0.1
50896,10,Ellips10,10,3,cma-es-ppmf-dp-2-pt-0.1
42533,10,Ellips10,50,3,cma-es-ppmf-dp-2-pt-0.1
44136,10,Ellips10,100,3,cma-es-ppmf-dp-2-pt-0.1
52460,10,Ellips10,200,3,cma-es-ppmf-dp-2-pt-0.1
61403,10,Ellips10,300,3,cma-es-ppmf-dp-2-pt-0.1
70575,10,Ellips10,400,3,cma-es-ppmf-dp-2-pt-0.1
79157,10,Ellips10,500,3,cma-es-ppmf-dp-2-pt-0.1
300002,30,Ellips10,10,3,cma-es-ppmf-dp-2-pt-0.1
300032,30,Ellips10,50,3,cma-es-ppmf-dp-2-pt-0.1
300070,30,Ellips10,100,3,cma-es-ppmf-dp-2-pt-0.1
300092,30,Ellips10,200,3,cma-es-ppmf-dp-2-pt-0.1
300096,30,Ellips10,300,3,cma-es-ppmf-dp-2-pt-0.1
300348,30,Ellips10,400,3,cma-es-ppmf-dp-2-pt-0.1
300098,30,Ellips10,500,3,cma-es-ppmf-dp-2-pt-0.1
3574,2,Ellips100,10,3,cma-es-ppmf-dp-2-pt-0.1
4895,2,Ellips100,50,3,cma-es-ppmf-dp-2-pt-0.1
6665,2,Ellips100,100,3,cma-es-ppmf-dp-2-pt-0.1
10652,2,Ellips100,200,3,cma-es-ppmf-dp-2-pt-0.1
14447,2,Ellips100,300,3,cma-es-ppmf-dp-2-pt-0.1
18445,2,Ellips100,400,3,cma-es-ppmf-dp-2-pt-0.1
20039,2,Ellips100,500,3,cma-es-ppmf-dp-2-pt-0.1
13628,5,Ellips100,10,3,cma-es-ppmf-dp-2-pt-0.1
13208,5,Ellips100,50,3,cma-es-ppmf-dp-2-pt-0.1
16462,5,Ellips100,100,3,cma-es-ppmf-dp-2-pt-0.1
22712,5,Ellips100,200,3,cma-es-ppmf-dp-2-pt-0.1
28594,5,Ellips100,300,3,cma-es-ppmf-dp-2-pt-0.1
35287,5,Ellips100,400,3,cma-es-ppmf-dp-2-pt-0.1
41081,5,Ellips100,500,3,cma-es-ppmf-dp-2-pt-0.1
51545,10,Ellips100,10,3,cma-es-ppmf-dp-2-pt-0.1
43706,10,Ellips100,50,3,cma-es-ppmf-dp-2-pt-0.1
45550,10,Ellips100,100,3,cma-es-ppmf-dp-2-pt-0.1
53666,10,Ellips100,200,3,cma-es-ppmf-dp-2-pt-0.1
62908,10,Ellips100,300,3,cma-es-ppmf-dp-2-pt-0.1
71377,10,Ellips100,400,3,cma-es-ppmf-dp-2-pt-0.1
81161,10,Ellips100,500,3,cma-es-ppmf-dp-2-pt-0.1
22296,30,Ellips100,10,3,cma-es-ppmf-dp-2-pt-0.1
300032,30,Ellips100,50,3,cma-es-ppmf-dp-2-pt-0.1
300070,30,Ellips100,100,3,cma-es-ppmf-dp-2-pt-0.1
300092,30,Ellips100,200,3,cma-es-ppmf-dp-2-pt-0.1
300096,30,Ellips100,300,3,cma-es-ppmf-dp-2-pt-0.1
300348,30,Ellips100,400,3,cma-es-ppmf-dp-2-pt-0.1
300098,30,Ellips100,500,3,cma-es-ppmf-dp-2-pt-0.1
3288,2,Sphere,10,4,cma-es-ppmf-dp-2-pt-0.1
4640,2,Sphere,50,4,cma-es-ppmf-dp-2-pt-0.1
6463,2,Sphere,100,4,cma-es-ppmf-dp-2-pt-0.1
10049,2,Sphere,200,4,cma-es-ppmf-dp-2-pt-0.1
13845,2,Sphere,300,4,cma-es-ppmf-dp-2-pt-0.1
16841,2,Sphere,400,4,cma-es-ppmf-dp-2-pt-0.1
20039,2,Sphere,500,4,cma-es-ppmf-dp-2-pt-0.1
13045,5,Sphere,10,4,cma-es-ppmf-dp-2-pt-0.1
12953,5,Sphere,50,4,cma-es-ppmf-dp-2-pt-0.1
15755,5,Sphere,100,4,cma-es-ppmf-dp-2-pt-0.1
21305,5,Sphere,200,4,cma-es-ppmf-dp-2-pt-0.1
27390,5,Sphere,300,4,cma-es-ppmf-dp-2-pt-0.1
33282,5,Sphere,400,4,cma-es-ppmf-dp-2-pt-0.1
39077,5,Sphere,500,4,cma-es-ppmf-dp-2-pt-0.1
50148,10,Sphere,10,4,cma-es-ppmf-dp-2-pt-0.1
41003,10,Sphere,50,4,cma-es-ppmf-dp-2-pt-0.1
43328,10,Sphere,100,4,cma-es-ppmf-dp-2-pt-0.1
51254,10,Sphere,200,4,cma-es-ppmf-dp-2-pt-0.1
59898,10,Sphere,300,4,cma-es-ppmf-dp-2-pt-0.1
69372,10,Sphere,400,4,cma-es-ppmf-dp-2-pt-0.1
78155,10,Sphere,500,4,cma-es-ppmf-dp-2-pt-0.1
22032,30,Sphere,10,4,cma-es-ppmf-dp-2-pt-0.1
300032,30,Sphere,50,4,cma-es-ppmf-dp-2-pt-0.1
300070,30,Sphere,100,4,cma-es-ppmf-dp-2-pt-0.1
300092,30,Sphere,200,4,cma-es-ppmf-dp-2-pt-0.1
300096,30,Sphere,300,4,cma-es-ppmf-dp-2-pt-0.1
300348,30,Sphere,400,4,cma-es-ppmf-dp-2-pt-0.1
300098,30,Sphere,500,4,cma-es-ppmf-dp-2-pt-0.1
3420,2,Ellips10,10,4,cma-es-ppmf-dp-2-pt-0.1
4691,2,Ellips10,50,4,cma-es-ppmf-dp-2-pt-0.1
6564,2,Ellips10,100,4,cma-es-ppmf-dp-2-pt-0.1
10250,2,Ellips10,200,4,cma-es-ppmf-dp-2-pt-0.1
14146,2,Ellips10,300,4,cma-es-ppmf-dp-2-pt-0.1
17643,2,Ellips10,400,4,cma-es-ppmf-dp-2-pt-0.1
20039,2,Ellips10,500,4,cma-es-ppmf-dp-2-pt-0.1
12935,5,Ellips10,10,4,cma-es-ppmf-dp-2-pt-0.1
13004,5,Ellips10,50,4,cma-es-ppmf-dp-2-pt-0.1
15856,5,Ellips10,100,4,cma-es-ppmf-dp-2-pt-0.1
21908,5,Ellips10,200,4,cma-es-ppmf-dp-2-pt-0.1
27992,5,Ellips10,300,4,cma-es-ppmf-dp-2-pt-0.1
34084,5,Ellips10,400,4,cma-es-ppmf-dp-2-pt-0.1
40079,5,Ellips10,500,4,cma-es-ppmf-dp-2-pt-0.1
50632,10,Ellips10,10,4,cma-es-ppmf-dp-2-pt-0.1
41819,10,Ellips10,50,4,cma-es-ppmf-dp-2-pt-0.1
44136,10,Ellips10,100,4,cma-es-ppmf-dp-2-pt-0.1
52460,10,Ellips10,200,4,cma-es-ppmf-dp-2-pt-0.1
61403,10,Ellips10,300,4,cma-es-ppmf-dp-2-pt-0.1
70575,10,Ellips10,400,4,cma-es-ppmf-dp-2-pt-0.1
78656,10,Ellips10,500,4,cma-es-ppmf-dp-2-pt-0.1
300002,30,Ellips10,10,4,cma-es-ppmf-dp-2-pt-0.1
300032,30,Ellips10,50,4,cma-es-ppmf-dp-2-pt-0.1
300070,30,Ellips10,100,4,cma-es-ppmf-dp-2-pt-0.1
300092,30,Ellips10,200,4,cma-es-ppmf-dp-2-pt-0.1
300096,30,Ellips10,300,4,cma-es-ppmf-dp-2-pt-0.1
300348,30,Ellips10,400,4,cma-es-ppmf-dp-2-pt-0.1
300098,30,Ellips10,500,4,cma-es-ppmf-dp-2-pt-0.1
3684,2,Ellips100,10,4,cma-es-ppmf-dp-2-pt-0.1
4844,2,Ellips100,50,4,cma-es-ppmf-dp-2-pt-0.1
6867,2,Ellips100,100,4,cma-es-ppmf-dp-2-pt-0.1
10451,2,Ellips100,200,4,cma-es-ppmf-dp-2-pt-0.1
14146,2,Ellips100,300,4,cma-es-ppmf-dp-2-pt-0.1
18445,2,Ellips100,400,4,cma-es-ppmf-dp-2-pt-0.1
20039,2,Ellips100,500,4,cma-es-ppmf-dp-2-pt-0.1
13551,5,Ellips100,10,4,cma-es-ppmf-dp-2-pt-0.1
13310,5,Ellips100,50,4,cma-es-ppmf-dp-2-pt-0.1
16159,5,Ellips100,100,4,cma-es-ppmf-dp-2-pt-0.1
22310,5,Ellips100,200,4,cma-es-ppmf-dp-2-pt-0.1
28594,5,Ellips100,300,4,cma-es-ppmf-dp-2-pt-0.1
34886,5,Ellips100,400,4,cma-es-ppmf-dp-2-pt-0.1
41081,5,Ellips100,500,4,cma-es-ppmf-dp-2-pt-0.1
52205,10,Ellips100,10,4,cma-es-ppmf-dp-2-pt-0.1
44165,10,Ellips100,50,4,cma-es-ppmf-dp-2-pt-0.1
45449,10,Ellips100,100,4,cma-es-ppmf-dp-2-pt-0.1
53666,10,Ellips100,200,4,cma-es-ppmf-dp-2-pt-0.1
63209,10,Ellips100,300,4,cma-es-ppmf-dp-2-pt-0.1
73382,10,Ellips100,400,4,cma-es-ppmf-dp-2-pt-0.1
81161,10,Ellips100,500,4,cma-es-ppmf-dp-2-pt-0.1
300002,30,Ellips100,10,4,cma-es-ppmf-dp-2-pt-0.1
300032,30,Ellips100,50,4,cma-es-ppmf-dp-2-pt-0.1
300070,30,Ellips100,100,4,cma-es-ppmf-dp-2-pt-0.1
300092,30,Ellips100,200,4,cma-es-ppmf-dp-2-pt-0.1
300096,30,Ellips100,300,4,cma-es-ppmf-dp-2-pt-0.1
300348,30,Ellips100,400,4,cma-es-ppmf-dp-2-pt-0.1
300098,30,Ellips100,500,4,cma-es-ppmf-dp-2-pt-0.1
3288,2,Sphere,10,5,cma-es-ppmf-dp-2-pt-0.1
4640,2,Sphere,50,5,cma-es-ppmf-dp-2-pt-0.1
6463,2,Sphere,100,5,cma-es-ppmf-dp-2-pt-0.1
10250,2,Sphere,200,5,cma-es-ppmf-dp-2-pt-0.1
14447,2,Sphere,300,5,cma-es-ppmf-dp-2-pt-0.1
16841,2,Sphere,400,5,cma-es-ppmf-dp-2-pt-0.1
20039,2,Sphere,500,5,cma-es-ppmf-dp-2-pt-0.1
12979,5,Sphere,10,5,cma-es-ppmf-dp-2-pt-0.1
12596,5,Sphere,50,5,cma-es-ppmf-dp-2-pt-0.1
15553,5,Sphere,100,5,cma-es-ppmf-dp-2-pt-0.1
21908,5,Sphere,200,5,cma-es-ppmf-dp-2-pt-0.1
27390,5,Sphere,300,5,cma-es-ppmf-dp-2-pt-0.1
33683,5,Sphere,400,5,cma-es-ppmf-dp-2-pt-0.1
39077,5,Sphere,500,5,cma-es-ppmf-dp-2-pt-0.1
50214,10,Sphere,10,5,cma-es-ppmf-dp-2-pt-0.1
41411,10,Sphere,50,5,cma-es-ppmf-dp-2-pt-0.1
43530,10,Sphere,100,5,cma-es-ppmf-dp-2-pt-0.1
52058,10,Sphere,200,5,cma-es-ppmf-dp-2-pt-0.1
59898,10,Sphere,300,5,cma-es-ppmf-dp-2-pt-0.1
68971,10,Sphere,400,5,cma-es-ppmf-dp-2-pt-0.1
77654,10,Sphere,500,5,cma-es-ppmf-dp-2-pt-0.1
300002,30,Sphere,10,5,cma-es-ppmf-dp-2-pt-0.1
300032,30,Sphere,50,5,cma-es-ppmf-dp-2-pt-0.1
300070,30,Sphere,100,5,cma-es-ppmf-dp-2-pt-0.1
300092,30,Sphere,200,5,cma-es-ppmf-dp-2-pt-0.1
300096,30,Sphere,300,5,cma-es-ppmf-dp-2-pt-0.1
300348,30,Sphere,400,5,cma-es-ppmf-dp-2-pt-0.1
300098,30,Sphere,500,5,cma-es-ppmf-dp-2-pt-0.1
3585,2,Ellips10,10,5,cma-es-ppmf-dp-2-pt-0.1
4742,2,Ellips10,50,5,cma-es-ppmf-dp-2-pt-0.1
6665,2,Ellips10,100,5,cma-es-ppmf-dp-2-pt-0.1
10451,2,Ellips10,200,5,cma-es-ppmf-dp-2-pt-0.1
13845,2,Ellips10,300,5,cma-es-ppmf-dp-2-pt-0.1
17643,2,Ellips10,400,5,cma-es-ppmf-dp-2-pt-0.1
20039,2,Ellips10,500,5,cma-es-ppmf-dp-2-pt-0.1
13133,5,Ellips10,10,5,cma-es-ppmf-dp-2-pt-0.1
12953,5,Ellips10,50,5,cma-es-ppmf-dp-2-pt-0.1
15957,5,Ellips10,100,5,cma-es-ppmf-dp-2-pt-0.1
22310,5,Ellips10,200,5,cma-es-ppmf-dp-2-pt-0.1
27691,5,Ellips10,300,5,cma-es-ppmf-dp-2-pt-0.1
34084,5,Ellips10,400,5,cma-es-ppmf-dp-2-pt-0.1
40079,5,Ellips10,500,5,cma-es-ppmf-dp-2-pt-0.1
50863,10,Ellips10,10,5,cma-es-ppmf-dp-2-pt-0.1
41921,10,Ellips10,50,5,cma-es-ppmf-dp-2-pt-0.1
