FE,N,Eval,p_target,Iteration,Alg
3623,2,Ellips10,0.1,2,cma-es-ppmf-dp-2-pt-0.1
3855,2,Ellips10,0.2,2,cma-es-ppmf-dp-2-pt-0.2
4191,2,Ellips10,0.3,2,cma-es-ppmf-dp-2-pt-0.3
5551,2,Ellips10,0.4,2,cma-es-ppmf-dp-2-pt-0.4
8167,2,Ellips10,0.5,2,cma-es-ppmf-dp-2-pt-0.5
4815,2,Ellips10,0.6,2,cma-es-ppmf-dp-2-pt-0.6
9415,2,Ellips10,0.9,2,cma-es-ppmf-dp-2-pt-0.9
12579,5,Ellips10,0.1,2,cma-es-ppmf-dp-2-pt-0.1
14079,5,Ellips10,0.2,2,cma-es-ppmf-dp-2-pt-0.2
15759,5,Ellips10,0.3,2,cma-es-ppmf-dp-2-pt-0.3
20539,5,Ellips10,0.4,2,cma-es-ppmf-dp-2-pt-0.4
28599,5,Ellips10,0.5,2,cma-es-ppmf-dp-2-pt-0.5
50019,5,Ellips10,0.6,2,cma-es-ppmf-dp-2-pt-0.6
15999,5,Ellips10,0.9,2,cma-es-ppmf-dp-2-pt-0.9
43079,10,Ellips10,0.1,2,cma-es-ppmf-dp-2-pt-0.1
55479,10,Ellips10,0.2,2,cma-es-ppmf-dp-2-pt-0.2
98759,10,Ellips10,0.3,2,cma-es-ppmf-dp-2-pt-0.3
67279,10,Ellips10,0.4,2,cma-es-ppmf-dp-2-pt-0.4
80599,10,Ellips10,0.5,2,cma-es-ppmf-dp-2-pt-0.5
100039,10,Ellips10,0.6,2,cma-es-ppmf-dp-2-pt-0.6
44319,10,Ellips10,0.9,2,cma-es-ppmf-dp-2-pt-0.9
300119,30,Ellips10,0.1,2,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips10,0.2,2,cma-es-ppmf-dp-2-pt-0.2
300119,30,Ellips10,0.3,2,cma-es-ppmf-dp-2-pt-0.3
300119,30,Ellips10,0.4,2,cma-es-ppmf-dp-2-pt-0.4
300119,30,Ellips10,0.5,2,cma-es-ppmf-dp-2-pt-0.5
300119,30,Ellips10,0.6,2,cma-es-ppmf-dp-2-pt-0.6
300119,30,Ellips10,0.9,2,cma-es-ppmf-dp-2-pt-0.9
500199,50,Ellips10,0.1,2,cma-es-ppmf-dp-2-pt-0.1
500199,50,Ellips10,0.2,2,cma-es-ppmf-dp-2-pt-0.2
500199,50,Ellips10,0.3,2,cma-es-ppmf-dp-2-pt-0.3
500199,50,Ellips10,0.4,2,cma-es-ppmf-dp-2-pt-0.4
500199,50,Ellips10,0.5,2,cma-es-ppmf-dp-2-pt-0.5
500199,50,Ellips10,0.6,2,cma-es-ppmf-dp-2-pt-0.6
500199,50,Ellips10,0.9,2,cma-es-ppmf-dp-2-pt-0.9
3727,2,Ellips100,0.1,2,cma-es-ppmf-dp-2-pt-0.1
4143,2,Ellips100,0.2,2,cma-es-ppmf-dp-2-pt-0.2
4119,2,Ellips100,0.3,2,cma-es-ppmf-dp-2-pt-0.3
5447,2,Ellips100,0.4,2,cma-es-ppmf-dp-2-pt-0.4
8943,2,Ellips100,0.5,2,cma-es-ppmf-dp-2-pt-0.5
14975,2,Ellips100,0.6,2,cma-es-ppmf-dp-2-pt-0.6
12863,2,Ellips100,0.9,2,cma-es-ppmf-dp-2-pt-0.9
12999,5,Ellips100,0.1,2,cma-es-ppmf-dp-2-pt-0.1
14399,5,Ellips100,0.2,2,cma-es-ppmf-dp-2-pt-0.2
16519,5,Ellips100,0.3,2,cma-es-ppmf-dp-2-pt-0.3
21139,5,Ellips100,0.4,2,cma-es-ppmf-dp-2-pt-0.4
30799,5,Ellips100,0.5,2,cma-es-ppmf-dp-2-pt-0.5
50019,5,Ellips100,0.6,2,cma-es-ppmf-dp-2-pt-0.6
14039,5,Ellips100,0.9,2,cma-es-ppmf-dp-2-pt-0.9
44359,10,Ellips100,0.1,2,cma-es-ppmf-dp-2-pt-0.1
57559,10,Ellips100,0.2,2,cma-es-ppmf-dp-2-pt-0.2
98079,10,Ellips100,0.3,2,cma-es-ppmf-dp-2-pt-0.3
69079,10,Ellips100,0.4,2,cma-es-ppmf-dp-2-pt-0.4
81399,10,Ellips100,0.5,2,cma-es-ppmf-dp-2-pt-0.5
100039,10,Ellips100,0.6,2,cma-es-ppmf-dp-2-pt-0.6
46639,10,Ellips100,0.9,2,cma-es-ppmf-dp-2-pt-0.9
300119,30,Ellips100,0.1,2,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips100,0.2,2,cma-es-ppmf-dp-2-pt-0.2
300119,30,Ellips100,0.3,2,cma-es-ppmf-dp-2-pt-0.3
300119,30,Ellips100,0.4,2,cma-es-ppmf-dp-2-pt-0.4
300119,30,Ellips100,0.5,2,cma-es-ppmf-dp-2-pt-0.5
