FE,N,Eval,d_param,Iteration,Alg
300119,30,Ellips100,10,2,cma-es-ppmf-dp-10-pt-0.1
300119,30,Ellips100,100,2,cma-es-ppmf-dp-100-pt-0.1
500199,50,Ellips100,0.01,2,cma-es-ppmf-dp-0.01-pt-0.1
500199,50,Ellips100,0.1,2,cma-es-ppmf-dp-0.1-pt-0.1
500199,50,Ellips100,1,2,cma-es-ppmf-dp-1-pt-0.1
500199,50,Ellips100,10,2,cma-es-ppmf-dp-10-pt-0.1
500199,50,Ellips100,100,2,cma-es-ppmf-dp-100-pt-0.1
3775,2,Sphere,0.01,3,cma-es-ppmf-dp-0.01-pt-0.1
3655,2,Sphere,0.1,3,cma-es-ppmf-dp-0.1-pt-0.1
3479,2,Sphere,1,3,cma-es-ppmf-dp-1-pt-0.1
16647,2,Sphere,10,3,cma-es-ppmf-dp-10-pt-0.1
5583,2,Sphere,100,3,cma-es-ppmf-dp-100-pt-0.1
13219,5,Sphere,0.01,3,cma-es-ppmf-dp-0.01-pt-0.1
12359,5,Sphere,0.1,3,cma-es-ppmf-dp-0.1-pt-0.1
12219,5,Sphere,1,3,cma-es-ppmf-dp-1-pt-0.1
17519,5,Sphere,10,3,cma-es-ppmf-dp-10-pt-0.1
25259,5,Sphere,100,3,cma-es-ppmf-dp-100-pt-0.1
42319,10,Sphere,0.01,3,cma-es-ppmf-dp-0.01-pt-0.1
39599,10,Sphere,0.1,3,cma-es-ppmf-dp-0.1-pt-0.1
39399,10,Sphere,1,3,cma-es-ppmf-dp-1-pt-0.1
36719,10,Sphere,10,3,cma-es-ppmf-dp-10-pt-0.1
38359,10,Sphere,100,3,cma-es-ppmf-dp-100-pt-0.1
300119,30,Sphere,0.01,3,cma-es-ppmf-dp-0.01-pt-0.1
300119,30,Sphere,0.1,3,cma-es-ppmf-dp-0.1-pt-0.1
300119,30,Sphere,1,3,cma-es-ppmf-dp-1-pt-0.1
300119,30,Sphere,10,3,cma-es-ppmf-dp-10-pt-0.1
300119,30,Sphere,100,3,cma-es-ppmf-dp-100-pt-0.1
500199,50,Sphere,0.01,3,cma-es-ppmf-dp-0.01-pt-0.1
500199,50,Sphere,0.1,3,cma-es-ppmf-dp-0.1-pt-0.1
500199,50,Sphere,1,3,cma-es-ppmf-dp-1-pt-0.1
500199,50,Sphere,10,3,cma-es-ppmf-dp-10-pt-0.1
500199,50,Sphere,100,3,cma-es-ppmf-dp-100-pt-0.1
4087,2,Ellips10,0.01,3,cma-es-ppmf-dp-0.01-pt-0.1
3855,2,Ellips10,0.1,3,cma-es-ppmf-dp-0.1-pt-0.1
3607,2,Ellips10,1,3,cma-es-ppmf-dp-1-pt-0.1
