FE,N,Eval,lambda,Iteration,Alg
8728,2,Ellips100,300,1,cma-es-ppmf-dp-2-pt-0.1
10826,2,Ellips100,400,1,cma-es-ppmf-dp-2-pt-0.1
13526,2,Ellips100,500,1,cma-es-ppmf-dp-2-pt-0.1
20019,2,Ellips100,1000,1,cma-es-ppmf-dp-2-pt-0.1
6984,5,Ellips100,10,1,cma-es-ppmf-dp-2-pt-0.1
3875,5,Ellips100,50,1,cma-es-ppmf-dp-2-pt-0.1
6160,5,Ellips100,100,1,cma-es-ppmf-dp-2-pt-0.1
9848,5,Ellips100,200,1,cma-es-ppmf-dp-2-pt-0.1
13243,5,Ellips100,300,1,cma-es-ppmf-dp-2-pt-0.1
16440,5,Ellips100,400,1,cma-es-ppmf-dp-2-pt-0.1
20039,5,Ellips100,500,1,cma-es-ppmf-dp-2-pt-0.1
36035,5,Ellips100,1000,1,cma-es-ppmf-dp-2-pt-0.1
6335,10,Ellips100,10,1,cma-es-ppmf-dp-2-pt-0.1
5558,10,Ellips100,50,1,cma-es-ppmf-dp-2-pt-0.1
8786,10,Ellips100,100,1,cma-es-ppmf-dp-2-pt-0.1
14270,10,Ellips100,200,1,cma-es-ppmf-dp-2-pt-0.1
19865,10,Ellips100,300,1,cma-es-ppmf-dp-2-pt-0.1
24861,10,Ellips100,400,1,cma-es-ppmf-dp-2-pt-0.1
29057,10,Ellips100,500,1,cma-es-ppmf-dp-2-pt-0.1
52051,10,Ellips100,1000,1,cma-es-ppmf-dp-2-pt-0.1
13408,30,Ellips100,10,1,cma-es-ppmf-dp-2-pt-0.1
22439,30,Ellips100,50,1,cma-es-ppmf-dp-2-pt-0.1
31814,30,Ellips100,100,1,cma-es-ppmf-dp-2-pt-0.1
44621,30,Ellips100,200,1,cma-es-ppmf-dp-2-pt-0.1
52373,30,Ellips100,300,1,cma-es-ppmf-dp-2-pt-0.1
58545,30,Ellips100,400,1,cma-es-ppmf-dp-2-pt-0.1
68135,30,Ellips100,500,1,cma-es-ppmf-dp-2-pt-0.1
107106,30,Ellips100,1000,1,cma-es-ppmf-dp-2-pt-0.1
62105,50,Ellips100,10,1,cma-es-ppmf-dp-2-pt-0.1
57986,50,Ellips100,50,1,cma-es-ppmf-dp-2-pt-0.1
72416,50,Ellips100,100,1,cma-es-ppmf-dp-2-pt-0.1
95474,50,Ellips100,200,1,cma-es-ppmf-dp-2-pt-0.1
114680,50,Ellips100,300,1,cma-es-ppmf-dp-2-pt-0.1
130725,50,Ellips100,400,1,cma-es-ppmf-dp-2-pt-0.1
146291,50,Ellips100,500,1,cma-es-ppmf-dp-2-pt-0.1
194193,50,Ellips100,1000,1,cma-es-ppmf-dp-2-pt-0.1
571394,100,Ellips100,10,1,cma-es-ppmf-dp-2-pt-0.1
157385,100,Ellips100,50,1,cma-es-ppmf-dp-2-pt-0.1
