FE,N,Eval,sigma,Iteration,Alg
3823,2,Schwefel,0.1,1,cma-es-ppmf-dp-2-pt-0.1
3511,2,Schwefel,1,1,cma-es-ppmf-dp-2-pt-0.1
3191,2,Schwefel,10,1,cma-es-ppmf-dp-2-pt-0.1
3175,2,Schwefel,100,1,cma-es-ppmf-dp-2-pt-0.1
2655,2,Schwefel,1000,1,cma-es-ppmf-dp-2-pt-0.1
5539,5,Schwefel,0.001,1,cma-es-ppmf-dp-2-pt-0.1
5099,5,Schwefel,0.01,1,cma-es-ppmf-dp-2-pt-0.1
5619,5,Schwefel,0.1,1,cma-es-ppmf-dp-2-pt-0.1
4959,5,Schwefel,1,1,cma-es-ppmf-dp-2-pt-0.1
4859,5,Schwefel,10,1,cma-es-ppmf-dp-2-pt-0.1
4399,5,Schwefel,100,1,cma-es-ppmf-dp-2-pt-0.1
5179,5,Schwefel,1000,1,cma-es-ppmf-dp-2-pt-0.1
7399,10,Schwefel,0.001,1,cma-es-ppmf-dp-2-pt-0.1
6999,10,Schwefel,0.01,1,cma-es-ppmf-dp-2-pt-0.1
7079,10,Schwefel,0.1,1,cma-es-ppmf-dp-2-pt-0.1
6679,10,Schwefel,1,1,cma-es-ppmf-dp-2-pt-0.1
6439,10,Schwefel,10,1,cma-es-ppmf-dp-2-pt-0.1
7119,10,Schwefel,100,1,cma-es-ppmf-dp-2-pt-0.1
6999,10,Schwefel,1000,1,cma-es-ppmf-dp-2-pt-0.1
207959,30,Schwefel,0.001,1,cma-es-ppmf-dp-2-pt-0.1
222479,30,Schwefel,0.01,1,cma-es-ppmf-dp-2-pt-0.1
206759,30,Schwefel,0.1,1,cma-es-ppmf-dp-2-pt-0.1
212399,30,Schwefel,1,1,cma-es-ppmf-dp-2-pt-0.1
139799,30,Schwefel,10,1,cma-es-ppmf-dp-2-pt-0.1
155399,30,Schwefel,100,1,cma-es-ppmf-dp-2-pt-0.1
177359,30,Schwefel,1000,1,cma-es-ppmf-dp-2-pt-0.1
500199,50,Schwefel,0.001,1,cma-es-ppmf-dp-2-pt-0.1
500199,50,Schwefel,0.01,1,cma-es-ppmf-dp-2-pt-0.1
500199,50,Schwefel,0.1,1,cma-es-ppmf-dp-2-pt-0.1
500199,50,Schwefel,1,1,cma-es-ppmf-dp-2-pt-0.1
500199,50,Schwefel,10,1,cma-es-ppmf-dp-2-pt-0.1
500199,50,Schwefel,100,1,cma-es-ppmf-dp-2-pt-0.1
500199,50,Schwefel,1000,1,cma-es-ppmf-dp-2-pt-0.1
1000399,100,Schwefel,0.001,1,cma-es-ppmf-dp-2-pt-0.1
1000399,100,Schwefel,0.01,1,cma-es-ppmf-dp-2-pt-0.1
1000399,100,Schwefel,0.1,1,cma-es-ppmf-dp-2-pt-0.1
1000399,100,Schwefel,1,1,cma-es-ppmf-dp-2-pt-0.1
1000399,100,Schwefel,10,1,cma-es-ppmf-dp-2-pt-0.1
1000399,100,Schwefel,100,1,cma-es-ppmf-dp-2-pt-0.1
1000399,100,Schwefel,1000,1,cma-es-ppmf-dp-2-pt-0.1
4695,2,Griewank,0.001,1,cma-es-ppmf-dp-2-pt-0.1
4287,2,Griewank,0.01,1,cma-es-ppmf-dp-2-pt-0.1
4007,2,Griewank,0.1,1,cma-es-ppmf-dp-2-pt-0.1
3719,2,Griewank,1,1,cma-es-ppmf-dp-2-pt-0.1
3423,2,Griewank,10,1,cma-es-ppmf-dp-2-pt-0.1
3111,2,Griewank,100,1,cma-es-ppmf-dp-2-pt-0.1
2655,2,Griewank,1000,1,cma-es-ppmf-dp-2-pt-0.1
19979,5,Griewank,0.001,1,cma-es-ppmf-dp-2-pt-0.1
17279,5,Griewank,0.01,1,cma-es-ppmf-dp-2-pt-0.1
17059,5,Griewank,0.1,1,cma-es-ppmf-dp-2-pt-0.1
14499,5,Griewank,1,1,cma-es-ppmf-dp-2-pt-0.1
13199,5,Griewank,10,1,cma-es-ppmf-dp-2-pt-0.1
13199,5,Griewank,100,1,cma-es-ppmf-dp-2-pt-0.1
11419,5,Griewank,1000,1,cma-es-ppmf-dp-2-pt-0.1
12359,10,Griewank,0.001,1,cma-es-ppmf-dp-2-pt-0.1
5719,10,Griewank,0.01,1,cma-es-ppmf-dp-2-pt-0.1
4399,10,Griewank,0.1,1,cma-es-ppmf-dp-2-pt-0.1
5879,10,Griewank,1,1,cma-es-ppmf-dp-2-pt-0.1
7319,10,Griewank,10,1,cma-es-ppmf-dp-2-pt-0.1
6359,10,Griewank,100,1,cma-es-ppmf-dp-2-pt-0.1
5439,10,Griewank,1000,1,cma-es-ppmf-dp-2-pt-0.1
22919,30,Griewank,0.001,1,cma-es-ppmf-dp-2-pt-0.1
21479,30,Griewank,0.01,1,cma-es-ppmf-dp-2-pt-0.1
20159,30,Griewank,0.1,1,cma-es-ppmf-dp-2-pt-0.1
18959,30,Griewank,1,1,cma-es-ppmf-dp-2-pt-0.1
16079,30,Griewank,10,1,cma-es-ppmf-dp-2-pt-0.1
16319,30,Griewank,100,1,cma-es-ppmf-dp-2-pt-0.1
18719,30,Griewank,1000,1,cma-es-ppmf-dp-2-pt-0.1
58399,50,Griewank,0.001,1,cma-es-ppmf-dp-2-pt-0.1
55199,50,Griewank,0.01,1,cma-es-ppmf-dp-2-pt-0.1
55399,50,Griewank,0.1,1,cma-es-ppmf-dp-2-pt-0.1
51799,50,Griewank,1,1,cma-es-ppmf-dp-2-pt-0.1
40599,50,Griewank,10,1,cma-es-ppmf-dp-2-pt-0.1
41599,50,Griewank,100,1,cma-es-ppmf-dp-2-pt-0.1
44599,50,Griewank,1000,1,cma-es-ppmf-dp-2-pt-0.1
220799,100,Griewank,0.001,1,cma-es-ppmf-dp-2-pt-0.1
214799,100,Griewank,0.01,1,cma-es-ppmf-dp-2-pt-0.1
201599,100,Griewank,0.1,1,cma-es-ppmf-dp-2-pt-0.1
183199,100,Griewank,1,1,cma-es-ppmf-dp-2-pt-0.1
163999,100,Griewank,10,1,cma-es-ppmf-dp-2-pt-0.1
156399,100,Griewank,100,1,cma-es-ppmf-dp-2-pt-0.1
171599,100,Griewank,1000,1,cma-es-ppmf-dp-2-pt-0.1
4431,2,Rastrigin,0.001,2,cma-es-ppmf-dp-2-pt-0.1
4119,2,Rastrigin,0.01,2,cma-es-ppmf-dp-2-pt-0.1
3727,2,Rastrigin,0.1,2,cma-es-ppmf-dp-2-pt-0.1
3679,2,Rastrigin,1,2,cma-es-ppmf-dp-2-pt-0.1
3231,2,Rastrigin,10,2,cma-es-ppmf-dp-2-pt-0.1
2879,2,Rastrigin,100,2,cma-es-ppmf-dp-2-pt-0.1
2535,2,Rastrigin,1000,2,cma-es-ppmf-dp-2-pt-0.1
17699,5,Rastrigin,0.001,2,cma-es-ppmf-dp-2-pt-0.1
16859,5,Rastrigin,0.01,2,cma-es-ppmf-dp-2-pt-0.1
15319,5,Rastrigin,0.1,2,cma-es-ppmf-dp-2-pt-0.1
14119,5,Rastrigin,1,2,cma-es-ppmf-dp-2-pt-0.1
13519,5,Rastrigin,10,2,cma-es-ppmf-dp-2-pt-0.1
12519,5,Rastrigin,100,2,cma-es-ppmf-dp-2-pt-0.1
10319,5,Rastrigin,1000,2,cma-es-ppmf-dp-2-pt-0.1
100039,10,Rastrigin,0.001,2,cma-es-ppmf-dp-2-pt-0.1
100039,10,Rastrigin,0.01,2,cma-es-ppmf-dp-2-pt-0.1
100039,10,Rastrigin,0.1,2,cma-es-ppmf-dp-2-pt-0.1
58479,10,Rastrigin,1,2,cma-es-ppmf-dp-2-pt-0.1
100039,10,Rastrigin,10,2,cma-es-ppmf-dp-2-pt-0.1
100039,10,Rastrigin,100,2,cma-es-ppmf-dp-2-pt-0.1
100039,10,Rastrigin,1000,2,cma-es-ppmf-dp-2-pt-0.1
300119,30,Rastrigin,0.001,2,cma-es-ppmf-dp-2-pt-0.1
300119,30,Rastrigin,0.01,2,cma-es-ppmf-dp-2-pt-0.1
300119,30,Rastrigin,0.1,2,cma-es-ppmf-dp-2-pt-0.1
300119,30,Rastrigin,1,2,cma-es-ppmf-dp-2-pt-0.1
300119,30,Rastrigin,10,2,cma-es-ppmf-dp-2-pt-0.1
300119,30,Rastrigin,100,2,cma-es-ppmf-dp-2-pt-0.1
300119,30,Rastrigin,1000,2,cma-es-ppmf-dp-2-pt-0.1
500199,50,Rastrigin,0.001,2,cma-es-ppmf-dp-2-pt-0.1
500199,50,Rastrigin,0.01,2,cma-es-ppmf-dp-2-pt-0.1
500199,50,Rastrigin,0.1,2,cma-es-ppmf-dp-2-pt-0.1
500199,50,Rastrigin,1,2,cma-es-ppmf-dp-2-pt-0.1
500199,50,Rastrigin,10,2,cma-es-ppmf-dp-2-pt-0.1
500199,50,Rastrigin,100,2,cma-es-ppmf-dp-2-pt-0.1
500199,50,Rastrigin,1000,2,cma-es-ppmf-dp-2-pt-0.1
1000399,100,Rastrigin,0.001,2,cma-es-ppmf-dp-2-pt-0.1
1000399,100,Rastrigin,0.01,2,cma-es-ppmf-dp-2-pt-0.1
1000399,100,Rastrigin,0.1,2,cma-es-ppmf-dp-2-pt-0.1
1000399,100,Rastrigin,1,2,cma-es-ppmf-dp-2-pt-0.1
1000399,100,Rastrigin,10,2,cma-es-ppmf-dp-2-pt-0.1
1000399,100,Rastrigin,100,2,cma-es-ppmf-dp-2-pt-0.1
1000399,100,Rastrigin,1000,2,cma-es-ppmf-dp-2-pt-0.1
4687,2,Schaffer,0.001,2,cma-es-ppmf-dp-2-pt-0.1
4479,2,Schaffer,0.01,2,cma-es-ppmf-dp-2-pt-0.1
4007,2,Schaffer,0.1,2,cma-es-ppmf-dp-2-pt-0.1
3775,2,Schaffer,1,2,cma-es-ppmf-dp-2-pt-0.1
3367,2,Schaffer,10,2,cma-es-ppmf-dp-2-pt-0.1
3311,2,Schaffer,100,2,cma-es-ppmf-dp-2-pt-0.1
2799,2,Schaffer,1000,2,cma-es-ppmf-dp-2-pt-0.1
18019,5,Schaffer,0.001,2,cma-es-ppmf-dp-2-pt-0.1
15799,5,Schaffer,0.01,2,cma-es-ppmf-dp-2-pt-0.1
15639,5,Schaffer,0.1,2,cma-es-ppmf-dp-2-pt-0.1
14279,5,Schaffer,1,2,cma-es-ppmf-dp-2-pt-0.1
12539,5,Schaffer,10,2,cma-es-ppmf-dp-2-pt-0.1
11199,5,Schaffer,100,2,cma-es-ppmf-dp-2-pt-0.1
12199,5,Schaffer,1000,2,cma-es-ppmf-dp-2-pt-0.1
67279,10,Schaffer,0.001,2,cma-es-ppmf-dp-2-pt-0.1
88479,10,Schaffer,0.01,2,cma-es-ppmf-dp-2-pt-0.1
64399,10,Schaffer,0.1,2,cma-es-ppmf-dp-2-pt-0.1
100039,10,Schaffer,1,2,cma-es-ppmf-dp-2-pt-0.1
83799,10,Schaffer,10,2,cma-es-ppmf-dp-2-pt-0.1
100039,10,Schaffer,100,2,cma-es-ppmf-dp-2-pt-0.1
93039,10,Schaffer,1000,2,cma-es-ppmf-dp-2-pt-0.1
300119,30,Schaffer,0.001,2,cma-es-ppmf-dp-2-pt-0.1
300119,30,Schaffer,0.01,2,cma-es-ppmf-dp-2-pt-0.1
300119,30,Schaffer,0.1,2,cma-es-ppmf-dp-2-pt-0.1
300119,30,Schaffer,1,2,cma-es-ppmf-dp-2-pt-0.1
300119,30,Schaffer,10,2,cma-es-ppmf-dp-2-pt-0.1
300119,30,Schaffer,100,2,cma-es-ppmf-dp-2-pt-0.1
300119,30,Schaffer,1000,2,cma-es-ppmf-dp-2-pt-0.1
500199,50,Schaffer,0.001,2,cma-es-ppmf-dp-2-pt-0.1
500199,50,Schaffer,0.01,2,cma-es-ppmf-dp-2-pt-0.1
500199,50,Schaffer,0.1,2,cma-es-ppmf-dp-2-pt-0.1
500199,50,Schaffer,1,2,cma-es-ppmf-dp-2-pt-0.1
500199,50,Schaffer,10,2,cma-es-ppmf-dp-2-pt-0.1
500199,50,Schaffer,100,2,cma-es-ppmf-dp-2-pt-0.1
500199,50,Schaffer,1000,2,cma-es-ppmf-dp-2-pt-0.1
1000399,100,Schaffer,0.001,2,cma-es-ppmf-dp-2-pt-0.1
1000399,100,Schaffer,0.01,2,cma-es-ppmf-dp-2-pt-0.1
1000399,100,Schaffer,0.1,2,cma-es-ppmf-dp-2-pt-0.1
1000399,100,Schaffer,1,2,cma-es-ppmf-dp-2-pt-0.1
1000399,100,Schaffer,10,2,cma-es-ppmf-dp-2-pt-0.1
1000399,100,Schaffer,100,2,cma-es-ppmf-dp-2-pt-0.1
1000399,100,Schaffer,1000,2,cma-es-ppmf-dp-2-pt-0.1
4479,2,Schwefel,0.001,2,cma-es-ppmf-dp-2-pt-0.1
4135,2,Schwefel,0.01,2,cma-es-ppmf-dp-2-pt-0.1
3863,2,Schwefel,0.1,2,cma-es-ppmf-dp-2-pt-0.1
3479,2,Schwefel,1,2,cma-es-ppmf-dp-2-pt-0.1
3191,2,Schwefel,10,2,cma-es-ppmf-dp-2-pt-0.1
2911,2,Schwefel,100,2,cma-es-ppmf-dp-2-pt-0.1
2687,2,Schwefel,1000,2,cma-es-ppmf-dp-2-pt-0.1
5019,5,Schwefel,0.001,2,cma-es-ppmf-dp-2-pt-0.1
5239,5,Schwefel,0.01,2,cma-es-ppmf-dp-2-pt-0.1
4859,5,Schwefel,0.1,2,cma-es-ppmf-dp-2-pt-0.1
4879,5,Schwefel,1,2,cma-es-ppmf-dp-2-pt-0.1
5339,5,Schwefel,10,2,cma-es-ppmf-dp-2-pt-0.1
5019,5,Schwefel,100,2,cma-es-ppmf-dp-2-pt-0.1
4879,5,Schwefel,1000,2,cma-es-ppmf-dp-2-pt-0.1
7479,10,Schwefel,0.001,2,cma-es-ppmf-dp-2-pt-0.1
7079,10,Schwefel,0.01,2,cma-es-ppmf-dp-2-pt-0.1
7239,10,Schwefel,0.1,2,cma-es-ppmf-dp-2-pt-0.1
6999,10,Schwefel,1,2,cma-es-ppmf-dp-2-pt-0.1
6679,10,Schwefel,10,2,cma-es-ppmf-dp-2-pt-0.1
6879,10,Schwefel,100,2,cma-es-ppmf-dp-2-pt-0.1
7039,10,Schwefel,1000,2,cma-es-ppmf-dp-2-pt-0.1
208559,30,Schwefel,0.001,2,cma-es-ppmf-dp-2-pt-0.1
242999,30,Schwefel,0.01,2,cma-es-ppmf-dp-2-pt-0.1
185159,30,Schwefel,0.1,2,cma-es-ppmf-dp-2-pt-0.1
253679,30,Schwefel,1,2,cma-es-ppmf-dp-2-pt-0.1
156239,30,Schwefel,10,2,cma-es-ppmf-dp-2-pt-0.1
154199,30,Schwefel,100,2,cma-es-ppmf-dp-2-pt-0.1
239519,30,Schwefel,1000,2,cma-es-ppmf-dp-2-pt-0.1
500199,50,Schwefel,0.001,2,cma-es-ppmf-dp-2-pt-0.1
500199,50,Schwefel,0.01,2,cma-es-ppmf-dp-2-pt-0.1
500199,50,Schwefel,0.1,2,cma-es-ppmf-dp-2-pt-0.1
500199,50,Schwefel,1,2,cma-es-ppmf-dp-2-pt-0.1
500199,50,Schwefel,10,2,cma-es-ppmf-dp-2-pt-0.1
500199,50,Schwefel,100,2,cma-es-ppmf-dp-2-pt-0.1
500199,50,Schwefel,1000,2,cma-es-ppmf-dp-2-pt-0.1
1000399,100,Schwefel,0.001,2,cma-es-ppmf-dp-2-pt-0.1
1000399,100,Schwefel,0.01,2,cma-es-ppmf-dp-2-pt-0.1
1000399,100,Schwefel,0.1,2,cma-es-ppmf-dp-2-pt-0.1
1000399,100,Schwefel,1,2,cma-es-ppmf-dp-2-pt-0.1
1000399,100,Schwefel,10,2,cma-es-ppmf-dp-2-pt-0.1
1000399,100,Schwefel,100,2,cma-es-ppmf-dp-2-pt-0.1
1000399,100,Schwefel,1000,2,cma-es-ppmf-dp-2-pt-0.1
4591,2,Griewank,0.001,2,cma-es-ppmf-dp-2-pt-0.1
4455,2,Griewank,0.01,2,cma-es-ppmf-dp-2-pt-0.1
3927,2,Griewank,0.1,2,cma-es-ppmf-dp-2-pt-0.1
3543,2,Griewank,1,2,cma-es-ppmf-dp-2-pt-0.1
3239,2,Griewank,10,2,cma-es-ppmf-dp-2-pt-0.1
3095,2,Griewank,100,2,cma-es-ppmf-dp-2-pt-0.1
2775,2,Griewank,1000,2,cma-es-ppmf-dp-2-pt-0.1
19479,5,Griewank,0.001,2,cma-es-ppmf-dp-2-pt-0.1
17879,5,Griewank,0.01,2,cma-es-ppmf-dp-2-pt-0.1
16079,5,Griewank,0.1,2,cma-es-ppmf-dp-2-pt-0.1
15839,5,Griewank,1,2,cma-es-ppmf-dp-2-pt-0.1
13759,5,Griewank,10,2,cma-es-ppmf-dp-2-pt-0.1
12219,5,Griewank,100,2,cma-es-ppmf-dp-2-pt-0.1
10799,5,Griewank,1000,2,cma-es-ppmf-dp-2-pt-0.1
9759,10,Griewank,0.001,2,cma-es-ppmf-dp-2-pt-0.1
4319,10,Griewank,0.01,2,cma-es-ppmf-dp-2-pt-0.1
4959,10,Griewank,0.1,2,cma-es-ppmf-dp-2-pt-0.1
6879,10,Griewank,1,2,cma-es-ppmf-dp-2-pt-0.1
4799,10,Griewank,10,2,cma-es-ppmf-dp-2-pt-0.1
14079,10,Griewank,100,2,cma-es-ppmf-dp-2-pt-0.1
4959,10,Griewank,1000,2,cma-es-ppmf-dp-2-pt-0.1
23999,30,Griewank,0.001,2,cma-es-ppmf-dp-2-pt-0.1
23039,30,Griewank,0.01,2,cma-es-ppmf-dp-2-pt-0.1
20279,30,Griewank,0.1,2,cma-es-ppmf-dp-2-pt-0.1
18599,30,Griewank,1,2,cma-es-ppmf-dp-2-pt-0.1
16199,30,Griewank,10,2,cma-es-ppmf-dp-2-pt-0.1
17159,30,Griewank,100,2,cma-es-ppmf-dp-2-pt-0.1
18119,30,Griewank,1000,2,cma-es-ppmf-dp-2-pt-0.1
500199,50,Griewank,0.001,2,cma-es-ppmf-dp-2-pt-0.1
51199,50,Griewank,0.01,2,cma-es-ppmf-dp-2-pt-0.1
54199,50,Griewank,0.1,2,cma-es-ppmf-dp-2-pt-0.1
50599,50,Griewank,1,2,cma-es-ppmf-dp-2-pt-0.1
40799,50,Griewank,10,2,cma-es-ppmf-dp-2-pt-0.1
42999,50,Griewank,100,2,cma-es-ppmf-dp-2-pt-0.1
44799,50,Griewank,1000,2,cma-es-ppmf-dp-2-pt-0.1
209199,100,Griewank,0.001,2,cma-es-ppmf-dp-2-pt-0.1
213999,100,Griewank,0.01,2,cma-es-ppmf-dp-2-pt-0.1
200399,100,Griewank,0.1,2,cma-es-ppmf-dp-2-pt-0.1
191199,100,Griewank,1,2,cma-es-ppmf-dp-2-pt-0.1
164799,100,Griewank,10,2,cma-es-ppmf-dp-2-pt-0.1
1000399,100,Griewank,100,2,cma-es-ppmf-dp-2-pt-0.1
164799,100,Griewank,1000,2,cma-es-ppmf-dp-2-pt-0.1
4463,2,Rastrigin,0.001,3,cma-es-ppmf-dp-2-pt-0.1
4159,2,Rastrigin,0.01,3,cma-es-ppmf-dp-2-pt-0.1
3855,2,Rastrigin,0.1,3,cma-es-ppmf-dp-2-pt-0.1
3535,2,Rastrigin,1,3,cma-es-ppmf-dp-2-pt-0.1
3151,2,Rastrigin,10,3,cma-es-ppmf-dp-2-pt-0.1
2791,2,Rastrigin,100,3,cma-es-ppmf-dp-2-pt-0.1
2703,2,Rastrigin,1000,3,cma-es-ppmf-dp-2-pt-0.1
18099,5,Rastrigin,0.001,3,cma-es-ppmf-dp-2-pt-0.1
17379,5,Rastrigin,0.01,3,cma-es-ppmf-dp-2-pt-0.1
15799,5,Rastrigin,0.1,3,cma-es-ppmf-dp-2-pt-0.1
14159,5,Rastrigin,1,3,cma-es-ppmf-dp-2-pt-0.1
12979,5,Rastrigin,10,3,cma-es-ppmf-dp-2-pt-0.1
11719,5,Rastrigin,100,3,cma-es-ppmf-dp-2-pt-0.1
10799,5,Rastrigin,1000,3,cma-es-ppmf-dp-2-pt-0.1
79359,10,Rastrigin,0.001,3,cma-es-ppmf-dp-2-pt-0.1
79479,10,Rastrigin,0.01,3,cma-es-ppmf-dp-2-pt-0.1
76959,10,Rastrigin,0.1,3,cma-es-ppmf-dp-2-pt-0.1
66399,10,Rastrigin,1,3,cma-es-ppmf-dp-2-pt-0.1
58359,10,Rastrigin,10,3,cma-es-ppmf-dp-2-pt-0.1
67119,10,Rastrigin,100,3,cma-es-ppmf-dp-2-pt-0.1
100039,10,Rastrigin,1000,3,cma-es-ppmf-dp-2-pt-0.1
300119,30,Rastrigin,0.001,3,cma-es-ppmf-dp-2-pt-0.1
300119,30,Rastrigin,0.01,3,cma-es-ppmf-dp-2-pt-0.1
300119,30,Rastrigin,0.1,3,cma-es-ppmf-dp-2-pt-0.1
300119,30,Rastrigin,1,3,cma-es-ppmf-dp-2-pt-0.1
300119,30,Rastrigin,10,3,cma-es-ppmf-dp-2-pt-0.1
300119,30,Rastrigin,100,3,cma-es-ppmf-dp-2-pt-0.1
300119,30,Rastrigin,1000,3,cma-es-ppmf-dp-2-pt-0.1
500199,50,Rastrigin,0.001,3,cma-es-ppmf-dp-2-pt-0.1
