FE,N,Eval,lambda,Iteration,Alg
300348,30,Rastrigin,400,1,cma-es-ppmf-dp-2-pt-0.1
300098,30,Rastrigin,500,1,cma-es-ppmf-dp-2-pt-0.1
300299,30,Rastrigin,1000,1,cma-es-ppmf-dp-2-pt-0.1
78044,50,Rastrigin,10,1,cma-es-ppmf-dp-2-pt-0.1
500003,50,Rastrigin,50,1,cma-es-ppmf-dp-2-pt-0.1
500050,50,Rastrigin,100,1,cma-es-ppmf-dp-2-pt-0.1
500087,50,Rastrigin,200,1,cma-es-ppmf-dp-2-pt-0.1
500261,50,Rastrigin,300,1,cma-es-ppmf-dp-2-pt-0.1
500046,50,Rastrigin,400,1,cma-es-ppmf-dp-2-pt-0.1
500498,50,Rastrigin,500,1,cma-es-ppmf-dp-2-pt-0.1
170169,50,Rastrigin,1000,1,cma-es-ppmf-dp-2-pt-0.1
520717,100,Rastrigin,10,1,cma-es-ppmf-dp-2-pt-0.1
1000007,100,Rastrigin,50,1,cma-es-ppmf-dp-2-pt-0.1
1000000,100,Rastrigin,100,1,cma-es-ppmf-dp-2-pt-0.1
1000175,100,Rastrigin,200,1,cma-es-ppmf-dp-2-pt-0.1
1000222,100,Rastrigin,300,1,cma-es-ppmf-dp-2-pt-0.1
1000093,100,Rastrigin,400,1,cma-es-ppmf-dp-2-pt-0.1
1000496,100,Rastrigin,500,1,cma-es-ppmf-dp-2-pt-0.1
1000999,100,Rastrigin,1000,1,cma-es-ppmf-dp-2-pt-0.1
3530,2,Schaffer,10,1,cma-es-ppmf-dp-2-pt-0.1
5507,2,Schaffer,50,1,cma-es-ppmf-dp-2-pt-0.1
8281,2,Schaffer,100,1,cma-es-ppmf-dp-2-pt-0.1
12662,2,Schaffer,200,1,cma-es-ppmf-dp-2-pt-0.1
18962,2,Schaffer,300,1,cma-es-ppmf-dp-2-pt-0.1
13633,2,Schaffer,400,1,cma-es-ppmf-dp-2-pt-0.1
20039,2,Schaffer,500,1,cma-es-ppmf-dp-2-pt-0.1
20019,2,Schaffer,1000,1,cma-es-ppmf-dp-2-pt-0.1
14552,5,Schaffer,10,1,cma-es-ppmf-dp-2-pt-0.1
16982,5,Schaffer,50,1,cma-es-ppmf-dp-2-pt-0.1
24542,5,Schaffer,100,1,cma-es-ppmf-dp-2-pt-0.1
36380,5,Schaffer,200,1,cma-es-ppmf-dp-2-pt-0.1
38226,5,Schaffer,300,1,cma-es-ppmf-dp-2-pt-0.1
50124,5,Schaffer,400,1,cma-es-ppmf-dp-2-pt-0.1
50099,5,Schaffer,500,1,cma-es-ppmf-dp-2-pt-0.1
50049,5,Schaffer,1000,1,cma-es-ppmf-dp-2-pt-0.1
70102,10,Schaffer,10,1,cma-es-ppmf-dp-2-pt-0.1
100010,10,Schaffer,50,1,cma-es-ppmf-dp-2-pt-0.1
92414,10,Schaffer,100,1,cma-es-ppmf-dp-2-pt-0.1
99494,10,Schaffer,200,1,cma-es-ppmf-dp-2-pt-0.1
100232,10,Schaffer,300,1,cma-es-ppmf-dp-2-pt-0.1
100249,10,Schaffer,400,1,cma-es-ppmf-dp-2-pt-0.1
100199,10,Schaffer,500,1,cma-es-ppmf-dp-2-pt-0.1
100099,10,Schaffer,1000,1,cma-es-ppmf-dp-2-pt-0.1
300002,30,Schaffer,10,1,cma-es-ppmf-dp-2-pt-0.1
300032,30,Schaffer,50,1,cma-es-ppmf-dp-2-pt-0.1
300070,30,Schaffer,100,1,cma-es-ppmf-dp-2-pt-0.1
300092,30,Schaffer,200,1,cma-es-ppmf-dp-2-pt-0.1
300096,30,Schaffer,300,1,cma-es-ppmf-dp-2-pt-0.1
300348,30,Schaffer,400,1,cma-es-ppmf-dp-2-pt-0.1
300098,30,Schaffer,500,1,cma-es-ppmf-dp-2-pt-0.1
300299,30,Schaffer,1000,1,cma-es-ppmf-dp-2-pt-0.1
71048,50,Schaffer,10,1,cma-es-ppmf-dp-2-pt-0.1
500003,50,Schaffer,50,1,cma-es-ppmf-dp-2-pt-0.1
500050,50,Schaffer,100,1,cma-es-ppmf-dp-2-pt-0.1
500087,50,Schaffer,200,1,cma-es-ppmf-dp-2-pt-0.1
500261,50,Schaffer,300,1,cma-es-ppmf-dp-2-pt-0.1
500046,50,Schaffer,400,1,cma-es-ppmf-dp-2-pt-0.1
500498,50,Schaffer,500,1,cma-es-ppmf-dp-2-pt-0.1
500499,50,Schaffer,1000,1,cma-es-ppmf-dp-2-pt-0.1
525326,100,Schaffer,10,1,cma-es-ppmf-dp-2-pt-0.1
1000007,100,Schaffer,50,1,cma-es-ppmf-dp-2-pt-0.1
1000000,100,Schaffer,100,1,cma-es-ppmf-dp-2-pt-0.1
1000175,100,Schaffer,200,1,cma-es-ppmf-dp-2-pt-0.1
1000222,100,Schaffer,300,1,cma-es-ppmf-dp-2-pt-0.1
1000093,100,Schaffer,400,1,cma-es-ppmf-dp-2-pt-0.1
1000496,100,Schaffer,500,1,cma-es-ppmf-dp-2-pt-0.1
1000999,100,Schaffer,1000,1,cma-es-ppmf-dp-2-pt-0.1
3343,2,Schwefel,10,1,cma-es-ppmf-dp-2-pt-0.1
4487,2,Schwefel,50,1,cma-es-ppmf-dp-2-pt-0.1
5958,2,Schwefel,100,1,cma-es-ppmf-dp-2-pt-0.1
9647,2,Schwefel,200,1,cma-es-ppmf-dp-2-pt-0.1
12942,2,Schwefel,300,1,cma-es-ppmf-dp-2-pt-0.1
16841,2,Schwefel,400,1,cma-es-ppmf-dp-2-pt-0.1
19538,2,Schwefel,500,1,cma-es-ppmf-dp-2-pt-0.1
20019,2,Schwefel,1000,1,cma-es-ppmf-dp-2-pt-0.1
13210,5,Schwefel,10,1,cma-es-ppmf-dp-2-pt-0.1
6170,5,Schwefel,50,1,cma-es-ppmf-dp-2-pt-0.1
9493,5,Schwefel,100,1,cma-es-ppmf-dp-2-pt-0.1
15476,5,Schwefel,200,1,cma-es-ppmf-dp-2-pt-0.1
20768,5,Schwefel,300,1,cma-es-ppmf-dp-2-pt-0.1
26064,5,Schwefel,400,1,cma-es-ppmf-dp-2-pt-0.1
31061,5,Schwefel,500,1,cma-es-ppmf-dp-2-pt-0.1
50049,5,Schwefel,1000,1,cma-es-ppmf-dp-2-pt-0.1
12374,10,Schwefel,10,1,cma-es-ppmf-dp-2-pt-0.1
7751,10,Schwefel,50,1,cma-es-ppmf-dp-2-pt-0.1
13230,10,Schwefel,100,1,cma-es-ppmf-dp-2-pt-0.1
22712,10,Schwefel,200,1,cma-es-ppmf-dp-2-pt-0.1
30701,10,Schwefel,300,1,cma-es-ppmf-dp-2-pt-0.1
38896,10,Schwefel,400,1,cma-es-ppmf-dp-2-pt-0.1
46091,10,Schwefel,500,1,cma-es-ppmf-dp-2-pt-0.1
82081,10,Schwefel,1000,1,cma-es-ppmf-dp-2-pt-0.1
21394,30,Schwefel,10,1,cma-es-ppmf-dp-2-pt-0.1
193238,30,Schwefel,50,1,cma-es-ppmf-dp-2-pt-0.1
232400,30,Schwefel,100,1,cma-es-ppmf-dp-2-pt-0.1
217079,30,Schwefel,200,1,cma-es-ppmf-dp-2-pt-0.1
198960,30,Schwefel,300,1,cma-es-ppmf-dp-2-pt-0.1
89422,30,Schwefel,400,1,cma-es-ppmf-dp-2-pt-0.1
78656,30,Schwefel,500,1,cma-es-ppmf-dp-2-pt-0.1
141140,30,Schwefel,1000,1,cma-es-ppmf-dp-2-pt-0.1
68826,50,Schwefel,10,1,cma-es-ppmf-dp-2-pt-0.1
500003,50,Schwefel,50,1,cma-es-ppmf-dp-2-pt-0.1
500050,50,Schwefel,100,1,cma-es-ppmf-dp-2-pt-0.1
500087,50,Schwefel,200,1,cma-es-ppmf-dp-2-pt-0.1
500261,50,Schwefel,300,1,cma-es-ppmf-dp-2-pt-0.1
500046,50,Schwefel,400,1,cma-es-ppmf-dp-2-pt-0.1
500498,50,Schwefel,500,1,cma-es-ppmf-dp-2-pt-0.1
500499,50,Schwefel,1000,1,cma-es-ppmf-dp-2-pt-0.1
498838,100,Schwefel,10,1,cma-es-ppmf-dp-2-pt-0.1
1000007,100,Schwefel,50,1,cma-es-ppmf-dp-2-pt-0.1
1000000,100,Schwefel,100,1,cma-es-ppmf-dp-2-pt-0.1
1000175,100,Schwefel,200,1,cma-es-ppmf-dp-2-pt-0.1
1000222,100,Schwefel,300,1,cma-es-ppmf-dp-2-pt-0.1
1000093,100,Schwefel,400,1,cma-es-ppmf-dp-2-pt-0.1
1000496,100,Schwefel,500,1,cma-es-ppmf-dp-2-pt-0.1
1000999,100,Schwefel,1000,1,cma-es-ppmf-dp-2-pt-0.1
3442,2,Griewank,10,1,cma-es-ppmf-dp-2-pt-0.1
6221,2,Griewank,50,1,cma-es-ppmf-dp-2-pt-0.1
9897,2,Griewank,100,1,cma-es-ppmf-dp-2-pt-0.1
16481,2,Griewank,200,1,cma-es-ppmf-dp-2-pt-0.1
20166,2,Griewank,300,1,cma-es-ppmf-dp-2-pt-0.1
20049,2,Griewank,400,1,cma-es-ppmf-dp-2-pt-0.1
20039,2,Griewank,500,1,cma-es-ppmf-dp-2-pt-0.1
20019,2,Griewank,1000,1,cma-es-ppmf-dp-2-pt-0.1
14167,5,Griewank,10,1,cma-es-ppmf-dp-2-pt-0.1
23510,5,Griewank,50,1,cma-es-ppmf-dp-2-pt-0.1
28986,5,Griewank,100,1,cma-es-ppmf-dp-2-pt-0.1
19496,5,Griewank,200,1,cma-es-ppmf-dp-2-pt-0.1
20467,5,Griewank,300,1,cma-es-ppmf-dp-2-pt-0.1
17643,5,Griewank,400,1,cma-es-ppmf-dp-2-pt-0.1
29057,5,Griewank,500,1,cma-es-ppmf-dp-2-pt-0.1
40039,5,Griewank,1000,1,cma-es-ppmf-dp-2-pt-0.1
51479,10,Griewank,10,1,cma-es-ppmf-dp-2-pt-0.1
6119,10,Griewank,50,1,cma-es-ppmf-dp-2-pt-0.1
8079,10,Griewank,100,1,cma-es-ppmf-dp-2-pt-0.1
12662,10,Griewank,200,1,cma-es-ppmf-dp-2-pt-0.1
19564,10,Griewank,300,1,cma-es-ppmf-dp-2-pt-0.1
25663,10,Griewank,400,1,cma-es-ppmf-dp-2-pt-0.1
26552,10,Griewank,500,1,cma-es-ppmf-dp-2-pt-0.1
47046,10,Griewank,1000,1,cma-es-ppmf-dp-2-pt-0.1
8447,30,Griewank,10,1,cma-es-ppmf-dp-2-pt-0.1
11015,30,Griewank,50,1,cma-es-ppmf-dp-2-pt-0.1
17270,30,Griewank,100,1,cma-es-ppmf-dp-2-pt-0.1
24923,30,Griewank,200,1,cma-es-ppmf-dp-2-pt-0.1
35517,30,Griewank,300,1,cma-es-ppmf-dp-2-pt-0.1
41302,30,Griewank,400,1,cma-es-ppmf-dp-2-pt-0.1
50099,30,Griewank,500,1,cma-es-ppmf-dp-2-pt-0.1
80079,30,Griewank,1000,1,cma-es-ppmf-dp-2-pt-0.1
79936,50,Griewank,10,1,cma-es-ppmf-dp-2-pt-0.1
22337,50,Griewank,50,1,cma-es-ppmf-dp-2-pt-0.1
30905,50,Griewank,100,1,cma-es-ppmf-dp-2-pt-0.1
49043,50,Griewank,200,1,cma-es-ppmf-dp-2-pt-0.1
65617,50,Griewank,300,1,cma-es-ppmf-dp-2-pt-0.1
78194,50,Griewank,400,1,cma-es-ppmf-dp-2-pt-0.1
84668,50,Griewank,500,1,cma-es-ppmf-dp-2-pt-0.1
122121,50,Griewank,1000,1,cma-es-ppmf-dp-2-pt-0.1
546666,100,Griewank,10,1,cma-es-ppmf-dp-2-pt-0.1
1000007,100,Griewank,50,1,cma-es-ppmf-dp-2-pt-0.1
78577,100,Griewank,100,1,cma-es-ppmf-dp-2-pt-0.1
116780,100,Griewank,200,1,cma-es-ppmf-dp-2-pt-0.1
156218,100,Griewank,300,1,cma-es-ppmf-dp-2-pt-0.1
179647,100,Griewank,400,1,cma-es-ppmf-dp-2-pt-0.1
1000496,100,Griewank,500,1,cma-es-ppmf-dp-2-pt-0.1
332331,100,Griewank,1000,1,cma-es-ppmf-dp-2-pt-0.1
3387,2,Rastrigin,10,2,cma-es-ppmf-dp-2-pt-0.1
5762,2,Rastrigin,50,2,cma-es-ppmf-dp-2-pt-0.1
8887,2,Rastrigin,100,2,cma-es-ppmf-dp-2-pt-0.1
9245,2,Rastrigin,200,2,cma-es-ppmf-dp-2-pt-0.1
11136,2,Rastrigin,300,2,cma-es-ppmf-dp-2-pt-0.1
14435,2,Rastrigin,400,2,cma-es-ppmf-dp-2-pt-0.1
15029,2,Rastrigin,500,2,cma-es-ppmf-dp-2-pt-0.1
20019,2,Rastrigin,1000,2,cma-es-ppmf-dp-2-pt-0.1
13683,5,Rastrigin,10,2,cma-es-ppmf-dp-2-pt-0.1
17339,5,Rastrigin,50,2,cma-es-ppmf-dp-2-pt-0.1
30198,5,Rastrigin,100,2,cma-es-ppmf-dp-2-pt-0.1
14069,5,Rastrigin,200,2,cma-es-ppmf-dp-2-pt-0.1
16253,5,Rastrigin,300,2,cma-es-ppmf-dp-2-pt-0.1
20049,5,Rastrigin,400,2,cma-es-ppmf-dp-2-pt-0.1
24047,5,Rastrigin,500,2,cma-es-ppmf-dp-2-pt-0.1
43042,5,Rastrigin,1000,2,cma-es-ppmf-dp-2-pt-0.1
51952,10,Rastrigin,10,2,cma-es-ppmf-dp-2-pt-0.1
86444,10,Rastrigin,50,2,cma-es-ppmf-dp-2-pt-0.1
100090,10,Rastrigin,100,2,cma-es-ppmf-dp-2-pt-0.1
21908,10,Rastrigin,200,2,cma-es-ppmf-dp-2-pt-0.1
23176,10,Rastrigin,300,2,cma-es-ppmf-dp-2-pt-0.1
38495,10,Rastrigin,400,2,cma-es-ppmf-dp-2-pt-0.1
36071,10,Rastrigin,500,2,cma-es-ppmf-dp-2-pt-0.1
58057,10,Rastrigin,1000,2,cma-es-ppmf-dp-2-pt-0.1
300002,30,Rastrigin,10,2,cma-es-ppmf-dp-2-pt-0.1
300032,30,Rastrigin,50,2,cma-es-ppmf-dp-2-pt-0.1
300070,30,Rastrigin,100,2,cma-es-ppmf-dp-2-pt-0.1
300092,30,Rastrigin,200,2,cma-es-ppmf-dp-2-pt-0.1
300096,30,Rastrigin,300,2,cma-es-ppmf-dp-2-pt-0.1
300348,30,Rastrigin,400,2,cma-es-ppmf-dp-2-pt-0.1
300098,30,Rastrigin,500,2,cma-es-ppmf-dp-2-pt-0.1
300299,30,Rastrigin,1000,2,cma-es-ppmf-dp-2-pt-0.1
74315,50,Rastrigin,10,2,cma-es-ppmf-dp-2-pt-0.1
500003,50,Rastrigin,50,2,cma-es-ppmf-dp-2-pt-0.1
500050,50,Rastrigin,100,2,cma-es-ppmf-dp-2-pt-0.1
500087,50,Rastrigin,200,2,cma-es-ppmf-dp-2-pt-0.1
500261,50,Rastrigin,300,2,cma-es-ppmf-dp-2-pt-0.1
500046,50,Rastrigin,400,2,cma-es-ppmf-dp-2-pt-0.1
500498,50,Rastrigin,500,2,cma-es-ppmf-dp-2-pt-0.1
500499,50,Rastrigin,1000,2,cma-es-ppmf-dp-2-pt-0.1
542838,100,Rastrigin,10,2,cma-es-ppmf-dp-2-pt-0.1
1000007,100,Rastrigin,50,2,cma-es-ppmf-dp-2-pt-0.1
1000000,100,Rastrigin,100,2,cma-es-ppmf-dp-2-pt-0.1
1000175,100,Rastrigin,200,2,cma-es-ppmf-dp-2-pt-0.1
1000222,100,Rastrigin,300,2,cma-es-ppmf-dp-2-pt-0.1
1000093,100,Rastrigin,400,2,cma-es-ppmf-dp-2-pt-0.1
1000496,100,Rastrigin,500,2,cma-es-ppmf-dp-2-pt-0.1
1000999,100,Rastrigin,1000,2,cma-es-ppmf-dp-2-pt-0.1
3508,2,Schaffer,10,2,cma-es-ppmf-dp-2-pt-0.1
5762,2,Schaffer,50,2,cma-es-ppmf-dp-2-pt-0.1
8382,2,Schaffer,100,2,cma-es-ppmf-dp-2-pt-0.1
10853,2,Schaffer,200,2,cma-es-ppmf-dp-2-pt-0.1
13243,2,Schaffer,300,2,cma-es-ppmf-dp-2-pt-0.1
20049,2,Schaffer,400,2,cma-es-ppmf-dp-2-pt-0.1
20039,2,Schaffer,500,2,cma-es-ppmf-dp-2-pt-0.1
20019,2,Schaffer,1000,2,cma-es-ppmf-dp-2-pt-0.1
14398,5,Schaffer,10,2,cma-es-ppmf-dp-2-pt-0.1
14279,5,Schaffer,50,2,cma-es-ppmf-dp-2-pt-0.1
18886,5,Schaffer,100,2,cma-es-ppmf-dp-2-pt-0.1
32561,5,Schaffer,200,2,cma-es-ppmf-dp-2-pt-0.1
38226,5,Schaffer,300,2,cma-es-ppmf-dp-2-pt-0.1
50124,5,Schaffer,400,2,cma-es-ppmf-dp-2-pt-0.1
50099,5,Schaffer,500,2,cma-es-ppmf-dp-2-pt-0.1
50049,5,Schaffer,1000,2,cma-es-ppmf-dp-2-pt-0.1
59432,10,Schaffer,10,2,cma-es-ppmf-dp-2-pt-0.1
74714,10,Schaffer,50,2,cma-es-ppmf-dp-2-pt-0.1
100090,10,Schaffer,100,2,cma-es-ppmf-dp-2-pt-0.1
100097,10,Schaffer,200,2,cma-es-ppmf-dp-2-pt-0.1
100232,10,Schaffer,300,2,cma-es-ppmf-dp-2-pt-0.1
100249,10,Schaffer,400,2,cma-es-ppmf-dp-2-pt-0.1
100199,10,Schaffer,500,2,cma-es-ppmf-dp-2-pt-0.1
100099,10,Schaffer,1000,2,cma-es-ppmf-dp-2-pt-0.1
300002,30,Schaffer,10,2,cma-es-ppmf-dp-2-pt-0.1
300032,30,Schaffer,50,2,cma-es-ppmf-dp-2-pt-0.1
300070,30,Schaffer,100,2,cma-es-ppmf-dp-2-pt-0.1
300092,30,Schaffer,200,2,cma-es-ppmf-dp-2-pt-0.1
300096,30,Schaffer,300,2,cma-es-ppmf-dp-2-pt-0.1
300348,30,Schaffer,400,2,cma-es-ppmf-dp-2-pt-0.1
300098,30,Schaffer,500,2,cma-es-ppmf-dp-2-pt-0.1
300299,30,Schaffer,1000,2,cma-es-ppmf-dp-2-pt-0.1
61269,50,Schaffer,10,2,cma-es-ppmf-dp-2-pt-0.1
500003,50,Schaffer,50,2,cma-es-ppmf-dp-2-pt-0.1
500050,50,Schaffer,100,2,cma-es-ppmf-dp-2-pt-0.1
500087,50,Schaffer,200,2,cma-es-ppmf-dp-2-pt-0.1
500261,50,Schaffer,300,2,cma-es-ppmf-dp-2-pt-0.1
500046,50,Schaffer,400,2,cma-es-ppmf-dp-2-pt-0.1
500498,50,Schaffer,500,2,cma-es-ppmf-dp-2-pt-0.1
500499,50,Schaffer,1000,2,cma-es-ppmf-dp-2-pt-0.1
532256,100,Schaffer,10,2,cma-es-ppmf-dp-2-pt-0.1
1000007,100,Schaffer,50,2,cma-es-ppmf-dp-2-pt-0.1
1000000,100,Schaffer,100,2,cma-es-ppmf-dp-2-pt-0.1
1000175,100,Schaffer,200,2,cma-es-ppmf-dp-2-pt-0.1
1000222,100,Schaffer,300,2,cma-es-ppmf-dp-2-pt-0.1
1000093,100,Schaffer,400,2,cma-es-ppmf-dp-2-pt-0.1
1000496,100,Schaffer,500,2,cma-es-ppmf-dp-2-pt-0.1
1000999,100,Schaffer,1000,2,cma-es-ppmf-dp-2-pt-0.1
3420,2,Schwefel,10,2,cma-es-ppmf-dp-2-pt-0.1
4589,2,Schwefel,50,2,cma-es-ppmf-dp-2-pt-0.1
6261,2,Schwefel,100,2,cma-es-ppmf-dp-2-pt-0.1
9647,2,Schwefel,200,2,cma-es-ppmf-dp-2-pt-0.1
12942,2,Schwefel,300,2,cma-es-ppmf-dp-2-pt-0.1
16841,2,Schwefel,400,2,cma-es-ppmf-dp-2-pt-0.1
20039,2,Schwefel,500,2,cma-es-ppmf-dp-2-pt-0.1
20019,2,Schwefel,1000,2,cma-es-ppmf-dp-2-pt-0.1
13419,5,Schwefel,10,2,cma-es-ppmf-dp-2-pt-0.1
6221,5,Schwefel,50,2,cma-es-ppmf-dp-2-pt-0.1
9493,5,Schwefel,100,2,cma-es-ppmf-dp-2-pt-0.1
15074,5,Schwefel,200,2,cma-es-ppmf-dp-2-pt-0.1
21069,5,Schwefel,300,2,cma-es-ppmf-dp-2-pt-0.1
26064,5,Schwefel,400,2,cma-es-ppmf-dp-2-pt-0.1
31061,5,Schwefel,500,2,cma-es-ppmf-dp-2-pt-0.1
50049,5,Schwefel,1000,2,cma-es-ppmf-dp-2-pt-0.1
10493,10,Schwefel,10,2,cma-es-ppmf-dp-2-pt-0.1
7751,10,Schwefel,50,2,cma-es-ppmf-dp-2-pt-0.1
13129,10,Schwefel,100,2,cma-es-ppmf-dp-2-pt-0.1
22511,10,Schwefel,200,2,cma-es-ppmf-dp-2-pt-0.1
30400,10,Schwefel,300,2,cma-es-ppmf-dp-2-pt-0.1
38495,10,Schwefel,400,2,cma-es-ppmf-dp-2-pt-0.1
46592,10,Schwefel,500,2,cma-es-ppmf-dp-2-pt-0.1
83082,10,Schwefel,1000,2,cma-es-ppmf-dp-2-pt-0.1
21471,30,Schwefel,10,2,cma-es-ppmf-dp-2-pt-0.1
206804,30,Schwefel,50,2,cma-es-ppmf-dp-2-pt-0.1
198161,30,Schwefel,100,2,cma-es-ppmf-dp-2-pt-0.1
160598,30,Schwefel,200,2,cma-es-ppmf-dp-2-pt-0.1
62005,30,Schwefel,300,2,cma-es-ppmf-dp-2-pt-0.1
65362,30,Schwefel,400,2,cma-es-ppmf-dp-2-pt-0.1
78656,30,Schwefel,500,2,cma-es-ppmf-dp-2-pt-0.1
143142,30,Schwefel,1000,2,cma-es-ppmf-dp-2-pt-0.1
169674,50,Schwefel,10,2,cma-es-ppmf-dp-2-pt-0.1
500003,50,Schwefel,50,2,cma-es-ppmf-dp-2-pt-0.1
500050,50,Schwefel,100,2,cma-es-ppmf-dp-2-pt-0.1
500087,50,Schwefel,200,2,cma-es-ppmf-dp-2-pt-0.1
500261,50,Schwefel,300,2,cma-es-ppmf-dp-2-pt-0.1
500046,50,Schwefel,400,2,cma-es-ppmf-dp-2-pt-0.1
500498,50,Schwefel,500,2,cma-es-ppmf-dp-2-pt-0.1
500499,50,Schwefel,1000,2,cma-es-ppmf-dp-2-pt-0.1
575321,100,Schwefel,10,2,cma-es-ppmf-dp-2-pt-0.1
1000007,100,Schwefel,50,2,cma-es-ppmf-dp-2-pt-0.1
1000000,100,Schwefel,100,2,cma-es-ppmf-dp-2-pt-0.1
1000175,100,Schwefel,200,2,cma-es-ppmf-dp-2-pt-0.1
1000222,100,Schwefel,300,2,cma-es-ppmf-dp-2-pt-0.1
1000093,100,Schwefel,400,2,cma-es-ppmf-dp-2-pt-0.1
1000496,100,Schwefel,500,2,cma-es-ppmf-dp-2-pt-0.1
1000999,100,Schwefel,1000,2,cma-es-ppmf-dp-2-pt-0.1
3574,2,Griewank,10,2,cma-es-ppmf-dp-2-pt-0.1
6425,2,Griewank,50,2,cma-es-ppmf-dp-2-pt-0.1
10907,2,Griewank,100,2,cma-es-ppmf-dp-2-pt-0.1
16079,2,Griewank,200,2,cma-es-ppmf-dp-2-pt-0.1
20166,2,Griewank,300,2,cma-es-ppmf-dp-2-pt-0.1
20049,2,Griewank,400,2,cma-es-ppmf-dp-2-pt-0.1
20039,2,Griewank,500,2,cma-es-ppmf-dp-2-pt-0.1
20019,2,Griewank,1000,2,cma-es-ppmf-dp-2-pt-0.1
13837,5,Griewank,10,2,cma-es-ppmf-dp-2-pt-0.1
20450,5,Griewank,50,2,cma-es-ppmf-dp-2-pt-0.1
24037,5,Griewank,100,2,cma-es-ppmf-dp-2-pt-0.1
47837,5,Griewank,200,2,cma-es-ppmf-dp-2-pt-0.1
15049,5,Griewank,300,2,cma-es-ppmf-dp-2-pt-0.1
26465,5,Griewank,400,2,cma-es-ppmf-dp-2-pt-0.1
25049,5,Griewank,500,2,cma-es-ppmf-dp-2-pt-0.1
40039,5,Griewank,1000,2,cma-es-ppmf-dp-2-pt-0.1
5774,10,Griewank,10,2,cma-es-ppmf-dp-2-pt-0.1
5150,10,Griewank,50,2,cma-es-ppmf-dp-2-pt-0.1
8281,10,Griewank,100,2,cma-es-ppmf-dp-2-pt-0.1
14471,10,Griewank,200,2,cma-es-ppmf-dp-2-pt-0.1
17457,10,Griewank,300,2,cma-es-ppmf-dp-2-pt-0.1
22054,10,Griewank,400,2,cma-es-ppmf-dp-2-pt-0.1
26552,10,Griewank,500,2,cma-es-ppmf-dp-2-pt-0.1
47046,10,Griewank,1000,2,cma-es-ppmf-dp-2-pt-0.1
21328,30,Griewank,10,2,cma-es-ppmf-dp-2-pt-0.1
12545,30,Griewank,50,2,cma-es-ppmf-dp-2-pt-0.1
17977,30,Griewank,100,2,cma-es-ppmf-dp-2-pt-0.1
26732,30,Griewank,200,2,cma-es-ppmf-dp-2-pt-0.1
35818,30,Griewank,300,2,cma-es-ppmf-dp-2-pt-0.1
40500,30,Griewank,400,2,cma-es-ppmf-dp-2-pt-0.1
49097,30,Griewank,500,2,cma-es-ppmf-dp-2-pt-0.1
79078,30,Griewank,1000,2,cma-es-ppmf-dp-2-pt-0.1
67627,50,Griewank,10,2,cma-es-ppmf-dp-2-pt-0.1
21980,50,Griewank,50,2,cma-es-ppmf-dp-2-pt-0.1
31309,50,Griewank,100,2,cma-es-ppmf-dp-2-pt-0.1
51254,50,Griewank,200,2,cma-es-ppmf-dp-2-pt-0.1
62005,50,Griewank,300,2,cma-es-ppmf-dp-2-pt-0.1
73783,50,Griewank,400,2,cma-es-ppmf-dp-2-pt-0.1
