FE,N,Eval,sigma,Iteration,Alg
4479,10,Ellips100,10,1,cma-es-ppmf-dp-2-pt-0.1
4719,10,Ellips100,100,1,cma-es-ppmf-dp-2-pt-0.1
5199,10,Ellips100,1000,1,cma-es-ppmf-dp-2-pt-0.1
38999,30,Ellips100,0.001,1,cma-es-ppmf-dp-2-pt-0.1
36239,30,Ellips100,0.01,1,cma-es-ppmf-dp-2-pt-0.1
35399,30,Ellips100,0.1,1,cma-es-ppmf-dp-2-pt-0.1
33479,30,Ellips100,1,1,cma-es-ppmf-dp-2-pt-0.1
29039,30,Ellips100,10,1,cma-es-ppmf-dp-2-pt-0.1
29279,30,Ellips100,100,1,cma-es-ppmf-dp-2-pt-0.1
32519,30,Ellips100,1000,1,cma-es-ppmf-dp-2-pt-0.1
107999,50,Ellips100,0.001,1,cma-es-ppmf-dp-2-pt-0.1
104599,50,Ellips100,0.01,1,cma-es-ppmf-dp-2-pt-0.1
104399,50,Ellips100,0.1,1,cma-es-ppmf-dp-2-pt-0.1
95399,50,Ellips100,1,1,cma-es-ppmf-dp-2-pt-0.1
84799,50,Ellips100,10,1,cma-es-ppmf-dp-2-pt-0.1
88399,50,Ellips100,100,1,cma-es-ppmf-dp-2-pt-0.1
87399,50,Ellips100,1000,1,cma-es-ppmf-dp-2-pt-0.1
466399,100,Ellips100,0.001,1,cma-es-ppmf-dp-2-pt-0.1
461599,100,Ellips100,0.01,1,cma-es-ppmf-dp-2-pt-0.1
427199,100,Ellips100,0.1,1,cma-es-ppmf-dp-2-pt-0.1
409199,100,Ellips100,1,1,cma-es-ppmf-dp-2-pt-0.1
391199,100,Ellips100,10,1,cma-es-ppmf-dp-2-pt-0.1
369599,100,Ellips100,100,1,cma-es-ppmf-dp-2-pt-0.1
393999,100,Ellips100,1000,1,cma-es-ppmf-dp-2-pt-0.1
4647,2,Sphere,0.001,2,cma-es-ppmf-dp-2-pt-0.1
4111,2,Sphere,0.01,2,cma-es-ppmf-dp-2-pt-0.1
3927,2,Sphere,0.1,2,cma-es-ppmf-dp-2-pt-0.1
3615,2,Sphere,1,2,cma-es-ppmf-dp-2-pt-0.1
3271,2,Sphere,10,2,cma-es-ppmf-dp-2-pt-0.1
2895,2,Sphere,100,2,cma-es-ppmf-dp-2-pt-0.1
2583,2,Sphere,1000,2,cma-es-ppmf-dp-2-pt-0.1
2579,5,Sphere,0.001,2,cma-es-ppmf-dp-2-pt-0.1
2959,5,Sphere,0.01,2,cma-es-ppmf-dp-2-pt-0.1
2719,5,Sphere,0.1,2,cma-es-ppmf-dp-2-pt-0.1
2679,5,Sphere,1,2,cma-es-ppmf-dp-2-pt-0.1
3079,5,Sphere,10,2,cma-es-ppmf-dp-2-pt-0.1
2219,5,Sphere,100,2,cma-es-ppmf-dp-2-pt-0.1
3039,5,Sphere,1000,2,cma-es-ppmf-dp-2-pt-0.1
4519,10,Sphere,0.001,2,cma-es-ppmf-dp-2-pt-0.1
4039,10,Sphere,0.01,2,cma-es-ppmf-dp-2-pt-0.1
4039,10,Sphere,0.1,2,cma-es-ppmf-dp-2-pt-0.1
3919,10,Sphere,1,2,cma-es-ppmf-dp-2-pt-0.1
3679,10,Sphere,10,2,cma-es-ppmf-dp-2-pt-0.1
3879,10,Sphere,100,2,cma-es-ppmf-dp-2-pt-0.1
4199,10,Sphere,1000,2,cma-es-ppmf-dp-2-pt-0.1
17999,30,Sphere,0.001,2,cma-es-ppmf-dp-2-pt-0.1
17999,30,Sphere,0.01,2,cma-es-ppmf-dp-2-pt-0.1
16919,30,Sphere,0.1,2,cma-es-ppmf-dp-2-pt-0.1
14039,30,Sphere,1,2,cma-es-ppmf-dp-2-pt-0.1
12599,30,Sphere,10,2,cma-es-ppmf-dp-2-pt-0.1
12479,30,Sphere,100,2,cma-es-ppmf-dp-2-pt-0.1
14519,30,Sphere,1000,2,cma-es-ppmf-dp-2-pt-0.1
42999,50,Sphere,0.001,2,cma-es-ppmf-dp-2-pt-0.1
42399,50,Sphere,0.01,2,cma-es-ppmf-dp-2-pt-0.1
39999,50,Sphere,0.1,2,cma-es-ppmf-dp-2-pt-0.1
35399,50,Sphere,1,2,cma-es-ppmf-dp-2-pt-0.1
27399,50,Sphere,10,2,cma-es-ppmf-dp-2-pt-0.1
27199,50,Sphere,100,2,cma-es-ppmf-dp-2-pt-0.1
30599,50,Sphere,1000,2,cma-es-ppmf-dp-2-pt-0.1
145599,100,Sphere,0.001,2,cma-es-ppmf-dp-2-pt-0.1
145999,100,Sphere,0.01,2,cma-es-ppmf-dp-2-pt-0.1
136399,100,Sphere,0.1,2,cma-es-ppmf-dp-2-pt-0.1
113999,100,Sphere,1,2,cma-es-ppmf-dp-2-pt-0.1
97199,100,Sphere,10,2,cma-es-ppmf-dp-2-pt-0.1
89199,100,Sphere,100,2,cma-es-ppmf-dp-2-pt-0.1
101599,100,Sphere,1000,2,cma-es-ppmf-dp-2-pt-0.1
4543,2,Ellips10,0.001,2,cma-es-ppmf-dp-2-pt-0.1
4183,2,Ellips10,0.01,2,cma-es-ppmf-dp-2-pt-0.1
3975,2,Ellips10,0.1,2,cma-es-ppmf-dp-2-pt-0.1
3671,2,Ellips10,1,2,cma-es-ppmf-dp-2-pt-0.1
3399,2,Ellips10,10,2,cma-es-ppmf-dp-2-pt-0.1
3071,2,Ellips10,100,2,cma-es-ppmf-dp-2-pt-0.1
2671,2,Ellips10,1000,2,cma-es-ppmf-dp-2-pt-0.1
3159,5,Ellips10,0.001,2,cma-es-ppmf-dp-2-pt-0.1
2719,5,Ellips10,0.01,2,cma-es-ppmf-dp-2-pt-0.1
2499,5,Ellips10,0.1,2,cma-es-ppmf-dp-2-pt-0.1
2859,5,Ellips10,1,2,cma-es-ppmf-dp-2-pt-0.1
2679,5,Ellips10,10,2,cma-es-ppmf-dp-2-pt-0.1
2819,5,Ellips10,100,2,cma-es-ppmf-dp-2-pt-0.1
2619,5,Ellips10,1000,2,cma-es-ppmf-dp-2-pt-0.1
4879,10,Ellips10,0.001,2,cma-es-ppmf-dp-2-pt-0.1
4399,10,Ellips10,0.01,2,cma-es-ppmf-dp-2-pt-0.1
4479,10,Ellips10,0.1,2,cma-es-ppmf-dp-2-pt-0.1
4039,10,Ellips10,1,2,cma-es-ppmf-dp-2-pt-0.1
3879,10,Ellips10,10,2,cma-es-ppmf-dp-2-pt-0.1
4079,10,Ellips10,100,2,cma-es-ppmf-dp-2-pt-0.1
4599,10,Ellips10,1000,2,cma-es-ppmf-dp-2-pt-0.1
26399,30,Ellips10,0.001,2,cma-es-ppmf-dp-2-pt-0.1
23759,30,Ellips10,0.01,2,cma-es-ppmf-dp-2-pt-0.1
22319,30,Ellips10,0.1,2,cma-es-ppmf-dp-2-pt-0.1
18959,30,Ellips10,1,2,cma-es-ppmf-dp-2-pt-0.1
17039,30,Ellips10,10,2,cma-es-ppmf-dp-2-pt-0.1
18719,30,Ellips10,100,2,cma-es-ppmf-dp-2-pt-0.1
19319,30,Ellips10,1000,2,cma-es-ppmf-dp-2-pt-0.1
64599,50,Ellips10,0.001,2,cma-es-ppmf-dp-2-pt-0.1
62999,50,Ellips10,0.01,2,cma-es-ppmf-dp-2-pt-0.1
58799,50,Ellips10,0.1,2,cma-es-ppmf-dp-2-pt-0.1
55199,50,Ellips10,1,2,cma-es-ppmf-dp-2-pt-0.1
46199,50,Ellips10,10,2,cma-es-ppmf-dp-2-pt-0.1
46399,50,Ellips10,100,2,cma-es-ppmf-dp-2-pt-0.1
50599,50,Ellips10,1000,2,cma-es-ppmf-dp-2-pt-0.1
248399,100,Ellips10,0.001,2,cma-es-ppmf-dp-2-pt-0.1
245999,100,Ellips10,0.01,2,cma-es-ppmf-dp-2-pt-0.1
219599,100,Ellips10,0.1,2,cma-es-ppmf-dp-2-pt-0.1
203599,100,Ellips10,1,2,cma-es-ppmf-dp-2-pt-0.1
187999,100,Ellips10,10,2,cma-es-ppmf-dp-2-pt-0.1
175599,100,Ellips10,100,2,cma-es-ppmf-dp-2-pt-0.1
196399,100,Ellips10,1000,2,cma-es-ppmf-dp-2-pt-0.1
4687,2,Ellips100,0.001,2,cma-es-ppmf-dp-2-pt-0.1
4351,2,Ellips100,0.01,2,cma-es-ppmf-dp-2-pt-0.1
3247,2,Ellips100,0.1,2,cma-es-ppmf-dp-2-pt-0.1
3871,2,Ellips100,1,2,cma-es-ppmf-dp-2-pt-0.1
3255,2,Ellips100,10,2,cma-es-ppmf-dp-2-pt-0.1
3199,2,Ellips100,100,2,cma-es-ppmf-dp-2-pt-0.1
2903,2,Ellips100,1000,2,cma-es-ppmf-dp-2-pt-0.1
3299,5,Ellips100,0.001,2,cma-es-ppmf-dp-2-pt-0.1
3199,5,Ellips100,0.01,2,cma-es-ppmf-dp-2-pt-0.1
3059,5,Ellips100,0.1,2,cma-es-ppmf-dp-2-pt-0.1
3079,5,Ellips100,1,2,cma-es-ppmf-dp-2-pt-0.1
3039,5,Ellips100,10,2,cma-es-ppmf-dp-2-pt-0.1
2939,5,Ellips100,100,2,cma-es-ppmf-dp-2-pt-0.1
3359,5,Ellips100,1000,2,cma-es-ppmf-dp-2-pt-0.1
5679,10,Ellips100,0.001,2,cma-es-ppmf-dp-2-pt-0.1
5079,10,Ellips100,0.01,2,cma-es-ppmf-dp-2-pt-0.1
5359,10,Ellips100,0.1,2,cma-es-ppmf-dp-2-pt-0.1
4479,10,Ellips100,1,2,cma-es-ppmf-dp-2-pt-0.1
4399,10,Ellips100,10,2,cma-es-ppmf-dp-2-pt-0.1
5079,10,Ellips100,100,2,cma-es-ppmf-dp-2-pt-0.1
4999,10,Ellips100,1000,2,cma-es-ppmf-dp-2-pt-0.1
39959,30,Ellips100,0.001,2,cma-es-ppmf-dp-2-pt-0.1
38879,30,Ellips100,0.01,2,cma-es-ppmf-dp-2-pt-0.1
35159,30,Ellips100,0.1,2,cma-es-ppmf-dp-2-pt-0.1
31919,30,Ellips100,1,2,cma-es-ppmf-dp-2-pt-0.1
32039,30,Ellips100,10,2,cma-es-ppmf-dp-2-pt-0.1
29759,30,Ellips100,100,2,cma-es-ppmf-dp-2-pt-0.1
32759,30,Ellips100,1000,2,cma-es-ppmf-dp-2-pt-0.1
106999,50,Ellips100,0.001,2,cma-es-ppmf-dp-2-pt-0.1
104599,50,Ellips100,0.01,2,cma-es-ppmf-dp-2-pt-0.1
102399,50,Ellips100,0.1,2,cma-es-ppmf-dp-2-pt-0.1
97399,50,Ellips100,1,2,cma-es-ppmf-dp-2-pt-0.1
88199,50,Ellips100,10,2,cma-es-ppmf-dp-2-pt-0.1
84799,50,Ellips100,100,2,cma-es-ppmf-dp-2-pt-0.1
88599,50,Ellips100,1000,2,cma-es-ppmf-dp-2-pt-0.1
469199,100,Ellips100,0.001,2,cma-es-ppmf-dp-2-pt-0.1
455599,100,Ellips100,0.01,2,cma-es-ppmf-dp-2-pt-0.1
424399,100,Ellips100,0.1,2,cma-es-ppmf-dp-2-pt-0.1
405599,100,Ellips100,1,2,cma-es-ppmf-dp-2-pt-0.1
373999,100,Ellips100,10,2,cma-es-ppmf-dp-2-pt-0.1
371199,100,Ellips100,100,2,cma-es-ppmf-dp-2-pt-0.1
375599,100,Ellips100,1000,2,cma-es-ppmf-dp-2-pt-0.1
4591,2,Sphere,0.001,3,cma-es-ppmf-dp-2-pt-0.1
4183,2,Sphere,0.01,3,cma-es-ppmf-dp-2-pt-0.1
3903,2,Sphere,0.1,3,cma-es-ppmf-dp-2-pt-0.1
3511,2,Sphere,1,3,cma-es-ppmf-dp-2-pt-0.1
3223,2,Sphere,10,3,cma-es-ppmf-dp-2-pt-0.1
2927,2,Sphere,100,3,cma-es-ppmf-dp-2-pt-0.1
2663,2,Sphere,1000,3,cma-es-ppmf-dp-2-pt-0.1
2999,5,Sphere,0.001,3,cma-es-ppmf-dp-2-pt-0.1
2599,5,Sphere,0.01,3,cma-es-ppmf-dp-2-pt-0.1
2859,5,Sphere,0.1,3,cma-es-ppmf-dp-2-pt-0.1
2679,5,Sphere,1,3,cma-es-ppmf-dp-2-pt-0.1
2819,5,Sphere,10,3,cma-es-ppmf-dp-2-pt-0.1
2719,5,Sphere,100,3,cma-es-ppmf-dp-2-pt-0.1
2799,5,Sphere,1000,3,cma-es-ppmf-dp-2-pt-0.1
4479,10,Sphere,0.001,3,cma-es-ppmf-dp-2-pt-0.1
4319,10,Sphere,0.01,3,cma-es-ppmf-dp-2-pt-0.1
4039,10,Sphere,0.1,3,cma-es-ppmf-dp-2-pt-0.1
3879,10,Sphere,1,3,cma-es-ppmf-dp-2-pt-0.1
3599,10,Sphere,10,3,cma-es-ppmf-dp-2-pt-0.1
3799,10,Sphere,100,3,cma-es-ppmf-dp-2-pt-0.1
4239,10,Sphere,1000,3,cma-es-ppmf-dp-2-pt-0.1
17279,30,Sphere,0.001,3,cma-es-ppmf-dp-2-pt-0.1
18359,30,Sphere,0.01,3,cma-es-ppmf-dp-2-pt-0.1
16559,30,Sphere,0.1,3,cma-es-ppmf-dp-2-pt-0.1
15479,30,Sphere,1,3,cma-es-ppmf-dp-2-pt-0.1
12239,30,Sphere,10,3,cma-es-ppmf-dp-2-pt-0.1
12959,30,Sphere,100,3,cma-es-ppmf-dp-2-pt-0.1
13559,30,Sphere,1000,3,cma-es-ppmf-dp-2-pt-0.1
43799,50,Sphere,0.001,3,cma-es-ppmf-dp-2-pt-0.1
40599,50,Sphere,0.01,3,cma-es-ppmf-dp-2-pt-0.1
39199,50,Sphere,0.1,3,cma-es-ppmf-dp-2-pt-0.1
34599,50,Sphere,1,3,cma-es-ppmf-dp-2-pt-0.1
28399,50,Sphere,10,3,cma-es-ppmf-dp-2-pt-0.1
27999,50,Sphere,100,3,cma-es-ppmf-dp-2-pt-0.1
31199,50,Sphere,1000,3,cma-es-ppmf-dp-2-pt-0.1
151599,100,Sphere,0.001,3,cma-es-ppmf-dp-2-pt-0.1
151199,100,Sphere,0.01,3,cma-es-ppmf-dp-2-pt-0.1
135599,100,Sphere,0.1,3,cma-es-ppmf-dp-2-pt-0.1
116399,100,Sphere,1,3,cma-es-ppmf-dp-2-pt-0.1
95599,100,Sphere,10,3,cma-es-ppmf-dp-2-pt-0.1
91199,100,Sphere,100,3,cma-es-ppmf-dp-2-pt-0.1
99199,100,Sphere,1000,3,cma-es-ppmf-dp-2-pt-0.1
4679,2,Ellips10,0.001,3,cma-es-ppmf-dp-2-pt-0.1
4447,2,Ellips10,0.01,3,cma-es-ppmf-dp-2-pt-0.1
4159,2,Ellips10,0.1,3,cma-es-ppmf-dp-2-pt-0.1
3703,2,Ellips10,1,3,cma-es-ppmf-dp-2-pt-0.1
3215,2,Ellips10,10,3,cma-es-ppmf-dp-2-pt-0.1
2999,2,Ellips10,100,3,cma-es-ppmf-dp-2-pt-0.1
2831,2,Ellips10,1000,3,cma-es-ppmf-dp-2-pt-0.1
3039,5,Ellips10,0.001,3,cma-es-ppmf-dp-2-pt-0.1
2799,5,Ellips10,0.01,3,cma-es-ppmf-dp-2-pt-0.1
2679,5,Ellips10,0.1,3,cma-es-ppmf-dp-2-pt-0.1
2799,5,Ellips10,1,3,cma-es-ppmf-dp-2-pt-0.1
