FE,N,Eval,p_target,d_param,Iteration,Alg
17699,5,Sphere,0.2,10,1,cma-es-ppmf-dp-10-pt-0.2
15079,5,Sphere,0.3,10,1,cma-es-ppmf-dp-10-pt-0.3
16819,5,Sphere,0.4,10,1,cma-es-ppmf-dp-10-pt-0.4
14239,5,Sphere,0.5,10,1,cma-es-ppmf-dp-10-pt-0.5
18979,5,Sphere,0.6,10,1,cma-es-ppmf-dp-10-pt-0.6
15939,5,Sphere,0.9,10,1,cma-es-ppmf-dp-10-pt-0.9
16399,5,Sphere,0.1,50,1,cma-es-ppmf-dp-50-pt-0.1
18499,5,Sphere,0.2,50,1,cma-es-ppmf-dp-50-pt-0.2
14219,5,Sphere,0.3,50,1,cma-es-ppmf-dp-50-pt-0.3
12979,5,Sphere,0.4,50,1,cma-es-ppmf-dp-50-pt-0.4
10279,5,Sphere,0.5,50,1,cma-es-ppmf-dp-50-pt-0.5
21879,5,Sphere,0.6,50,1,cma-es-ppmf-dp-50-pt-0.6
17879,5,Sphere,0.9,50,1,cma-es-ppmf-dp-50-pt-0.9
15539,5,Sphere,0.1,100,1,cma-es-ppmf-dp-100-pt-0.1
15899,5,Sphere,0.2,100,1,cma-es-ppmf-dp-100-pt-0.2
13359,5,Sphere,0.3,100,1,cma-es-ppmf-dp-100-pt-0.3
19419,5,Sphere,0.4,100,1,cma-es-ppmf-dp-100-pt-0.4
19059,5,Sphere,0.5,100,1,cma-es-ppmf-dp-100-pt-0.5
14699,5,Sphere,0.6,100,1,cma-es-ppmf-dp-100-pt-0.6
15419,5,Sphere,0.9,100,1,cma-es-ppmf-dp-100-pt-0.9
17639,10,Sphere,0.1,0.1,1,cma-es-ppmf-dp-0.1-pt-0.1
13839,10,Sphere,0.2,0.1,1,cma-es-ppmf-dp-0.1-pt-0.2
10919,10,Sphere,0.3,0.1,1,cma-es-ppmf-dp-0.1-pt-0.3
8959,10,Sphere,0.4,0.1,1,cma-es-ppmf-dp-0.1-pt-0.4
7279,10,Sphere,0.5,0.1,1,cma-es-ppmf-dp-0.1-pt-0.5
6559,10,Sphere,0.6,0.1,1,cma-es-ppmf-dp-0.1-pt-0.6
10999,10,Sphere,0.9,0.1,1,cma-es-ppmf-dp-0.1-pt-0.9
12199,10,Sphere,0.1,0.3,1,cma-es-ppmf-dp-0.3-pt-0.1
7959,10,Sphere,0.2,0.3,1,cma-es-ppmf-dp-0.3-pt-0.2
5559,10,Sphere,0.3,0.3,1,cma-es-ppmf-dp-0.3-pt-0.3
4279,10,Sphere,0.4,0.3,1,cma-es-ppmf-dp-0.3-pt-0.4
3959,10,Sphere,0.5,0.3,1,cma-es-ppmf-dp-0.3-pt-0.5
4559,10,Sphere,0.6,0.3,1,cma-es-ppmf-dp-0.3-pt-0.6
5879,10,Sphere,0.9,0.3,1,cma-es-ppmf-dp-0.3-pt-0.9
9559,10,Sphere,0.1,0.5,1,cma-es-ppmf-dp-0.5-pt-0.1
5559,10,Sphere,0.2,0.5,1,cma-es-ppmf-dp-0.5-pt-0.2
3999,10,Sphere,0.3,0.5,1,cma-es-ppmf-dp-0.5-pt-0.3
3559,10,Sphere,0.4,0.5,1,cma-es-ppmf-dp-0.5-pt-0.4
3199,10,Sphere,0.5,0.5,1,cma-es-ppmf-dp-0.5-pt-0.5
3799,10,Sphere,0.6,0.5,1,cma-es-ppmf-dp-0.5-pt-0.6
5919,10,Sphere,0.9,0.5,1,cma-es-ppmf-dp-0.5-pt-0.9
6079,10,Sphere,0.1,1,1,cma-es-ppmf-dp-1-pt-0.1
3599,10,Sphere,0.2,1,1,cma-es-ppmf-dp-1-pt-0.2
3079,10,Sphere,0.3,1,1,cma-es-ppmf-dp-1-pt-0.3
3559,10,Sphere,0.4,1,1,cma-es-ppmf-dp-1-pt-0.4
3919,10,Sphere,0.5,1,1,cma-es-ppmf-dp-1-pt-0.5
4599,10,Sphere,0.6,1,1,cma-es-ppmf-dp-1-pt-0.6
37279,10,Sphere,0.9,1,1,cma-es-ppmf-dp-1-pt-0.9
3959,10,Sphere,0.1,2,1,cma-es-ppmf-dp-2-pt-0.1
3399,10,Sphere,0.2,2,1,cma-es-ppmf-dp-2-pt-0.2
3359,10,Sphere,0.3,2,1,cma-es-ppmf-dp-2-pt-0.3
3999,10,Sphere,0.4,2,1,cma-es-ppmf-dp-2-pt-0.4
4599,10,Sphere,0.5,2,1,cma-es-ppmf-dp-2-pt-0.5
6919,10,Sphere,0.6,2,1,cma-es-ppmf-dp-2-pt-0.6
45759,10,Sphere,0.9,2,1,cma-es-ppmf-dp-2-pt-0.9
44479,10,Sphere,0.1,10,1,cma-es-ppmf-dp-10-pt-0.1
40159,10,Sphere,0.2,10,1,cma-es-ppmf-dp-10-pt-0.2
50039,10,Sphere,0.3,10,1,cma-es-ppmf-dp-10-pt-0.3
35279,10,Sphere,0.4,10,1,cma-es-ppmf-dp-10-pt-0.4
43519,10,Sphere,0.5,10,1,cma-es-ppmf-dp-10-pt-0.5
49239,10,Sphere,0.6,10,1,cma-es-ppmf-dp-10-pt-0.6
43639,10,Sphere,0.9,10,1,cma-es-ppmf-dp-10-pt-0.9
49839,10,Sphere,0.1,50,1,cma-es-ppmf-dp-50-pt-0.1
40479,10,Sphere,0.2,50,1,cma-es-ppmf-dp-50-pt-0.2
42039,10,Sphere,0.3,50,1,cma-es-ppmf-dp-50-pt-0.3
44319,10,Sphere,0.4,50,1,cma-es-ppmf-dp-50-pt-0.4
40639,10,Sphere,0.5,50,1,cma-es-ppmf-dp-50-pt-0.5
43159,10,Sphere,0.6,50,1,cma-es-ppmf-dp-50-pt-0.6
