FE,N,Eval,p_target,d_param,Iteration,Alg
22379,5,Rastrigin,0.3,2,1,cma-es-ppmf-dp-2-pt-0.3
20799,5,Rastrigin,0.4,2,1,cma-es-ppmf-dp-2-pt-0.4
24679,5,Rastrigin,0.5,2,1,cma-es-ppmf-dp-2-pt-0.5
20219,5,Rastrigin,0.1,10,1,cma-es-ppmf-dp-10-pt-0.1
20239,5,Rastrigin,0.2,10,1,cma-es-ppmf-dp-10-pt-0.2
16419,5,Rastrigin,0.3,10,1,cma-es-ppmf-dp-10-pt-0.3
16679,5,Rastrigin,0.4,10,1,cma-es-ppmf-dp-10-pt-0.4
9799,5,Rastrigin,0.5,10,1,cma-es-ppmf-dp-10-pt-0.5
15879,5,Rastrigin,0.1,50,1,cma-es-ppmf-dp-50-pt-0.1
14759,5,Rastrigin,0.2,50,1,cma-es-ppmf-dp-50-pt-0.2
14399,5,Rastrigin,0.3,50,1,cma-es-ppmf-dp-50-pt-0.3
17639,5,Rastrigin,0.4,50,1,cma-es-ppmf-dp-50-pt-0.4
12879,5,Rastrigin,0.5,50,1,cma-es-ppmf-dp-50-pt-0.5
17019,5,Rastrigin,0.1,100,1,cma-es-ppmf-dp-100-pt-0.1
14379,5,Rastrigin,0.2,100,1,cma-es-ppmf-dp-100-pt-0.2
13579,5,Rastrigin,0.3,100,1,cma-es-ppmf-dp-100-pt-0.3
11799,5,Rastrigin,0.4,100,1,cma-es-ppmf-dp-100-pt-0.4
18519,5,Rastrigin,0.5,100,1,cma-es-ppmf-dp-100-pt-0.5
96119,10,Rastrigin,0.1,0.1,1,cma-es-ppmf-dp-0.1-pt-0.1
94039,10,Rastrigin,0.2,0.1,1,cma-es-ppmf-dp-0.1-pt-0.2
73879,10,Rastrigin,0.3,0.1,1,cma-es-ppmf-dp-0.1-pt-0.3
100039,10,Rastrigin,0.4,0.1,1,cma-es-ppmf-dp-0.1-pt-0.4
85119,10,Rastrigin,0.5,0.1,1,cma-es-ppmf-dp-0.1-pt-0.5
61279,10,Rastrigin,0.1,0.3,1,cma-es-ppmf-dp-0.3-pt-0.1
72759,10,Rastrigin,0.2,0.3,1,cma-es-ppmf-dp-0.3-pt-0.2
77959,10,Rastrigin,0.3,0.3,1,cma-es-ppmf-dp-0.3-pt-0.3
87799,10,Rastrigin,0.4,0.3,1,cma-es-ppmf-dp-0.3-pt-0.4
100039,10,Rastrigin,0.5,0.3,1,cma-es-ppmf-dp-0.3-pt-0.5
100039,10,Rastrigin,0.1,0.5,1,cma-es-ppmf-dp-0.5-pt-0.1
100039,10,Rastrigin,0.2,0.5,1,cma-es-ppmf-dp-0.5-pt-0.2
100039,10,Rastrigin,0.3,0.5,1,cma-es-ppmf-dp-0.5-pt-0.3
59559,10,Rastrigin,0.4,0.5,1,cma-es-ppmf-dp-0.5-pt-0.4
41639,10,Rastrigin,0.5,0.5,1,cma-es-ppmf-dp-0.5-pt-0.5
67759,10,Rastrigin,0.1,1,1,cma-es-ppmf-dp-1-pt-0.1
100039,10,Rastrigin,0.2,1,1,cma-es-ppmf-dp-1-pt-0.2
100039,10,Rastrigin,0.3,1,1,cma-es-ppmf-dp-1-pt-0.3
100039,10,Rastrigin,0.4,1,1,cma-es-ppmf-dp-1-pt-0.4
53879,10,Rastrigin,0.5,1,1,cma-es-ppmf-dp-1-pt-0.5
85159,10,Rastrigin,0.1,2,1,cma-es-ppmf-dp-2-pt-0.1
79319,10,Rastrigin,0.2,2,1,cma-es-ppmf-dp-2-pt-0.2
47319,10,Rastrigin,0.3,2,1,cma-es-ppmf-dp-2-pt-0.3
49359,10,Rastrigin,0.4,2,1,cma-es-ppmf-dp-2-pt-0.4
43559,10,Rastrigin,0.5,2,1,cma-es-ppmf-dp-2-pt-0.5
36119,10,Rastrigin,0.1,10,1,cma-es-ppmf-dp-10-pt-0.1
51799,10,Rastrigin,0.2,10,1,cma-es-ppmf-dp-10-pt-0.2
41039,10,Rastrigin,0.3,10,1,cma-es-ppmf-dp-10-pt-0.3
41719,10,Rastrigin,0.4,10,1,cma-es-ppmf-dp-10-pt-0.4
47799,10,Rastrigin,0.5,10,1,cma-es-ppmf-dp-10-pt-0.5
48199,10,Rastrigin,0.1,50,1,cma-es-ppmf-dp-50-pt-0.1
47079,10,Rastrigin,0.2,50,1,cma-es-ppmf-dp-50-pt-0.2
55239,10,Rastrigin,0.3,50,1,cma-es-ppmf-dp-50-pt-0.3
41279,10,Rastrigin,0.4,50,1,cma-es-ppmf-dp-50-pt-0.4
41199,10,Rastrigin,0.5,50,1,cma-es-ppmf-dp-50-pt-0.5
51719,10,Rastrigin,0.1,100,1,cma-es-ppmf-dp-100-pt-0.1
50359,10,Rastrigin,0.2,100,1,cma-es-ppmf-dp-100-pt-0.2
43239,10,Rastrigin,0.3,100,1,cma-es-ppmf-dp-100-pt-0.3
44959,10,Rastrigin,0.4,100,1,cma-es-ppmf-dp-100-pt-0.4
40439,10,Rastrigin,0.5,100,1,cma-es-ppmf-dp-100-pt-0.5
300119,30,Rastrigin,0.1,0.1,1,cma-es-ppmf-dp-0.1-pt-0.1
300119,30,Rastrigin,0.2,0.1,1,cma-es-ppmf-dp-0.1-pt-0.2
300119,30,Rastrigin,0.3,0.1,1,cma-es-ppmf-dp-0.1-pt-0.3
300119,30,Rastrigin,0.4,0.1,1,cma-es-ppmf-dp-0.1-pt-0.4
300119,30,Rastrigin,0.5,0.1,1,cma-es-ppmf-dp-0.1-pt-0.5
300119,30,Rastrigin,0.1,0.3,1,cma-es-ppmf-dp-0.3-pt-0.1
300119,30,Rastrigin,0.2,0.3,1,cma-es-ppmf-dp-0.3-pt-0.2
300119,30,Rastrigin,0.3,0.3,1,cma-es-ppmf-dp-0.3-pt-0.3
300119,30,Rastrigin,0.4,0.3,1,cma-es-ppmf-dp-0.3-pt-0.4
300119,30,Rastrigin,0.5,0.3,1,cma-es-ppmf-dp-0.3-pt-0.5
300119,30,Rastrigin,0.1,0.5,1,cma-es-ppmf-dp-0.5-pt-0.1
300119,30,Rastrigin,0.2,0.5,1,cma-es-ppmf-dp-0.5-pt-0.2
300119,30,Rastrigin,0.3,0.5,1,cma-es-ppmf-dp-0.5-pt-0.3
300119,30,Rastrigin,0.4,0.5,1,cma-es-ppmf-dp-0.5-pt-0.4
300119,30,Rastrigin,0.5,0.5,1,cma-es-ppmf-dp-0.5-pt-0.5
300119,30,Rastrigin,0.1,1,1,cma-es-ppmf-dp-1-pt-0.1
300119,30,Rastrigin,0.2,1,1,cma-es-ppmf-dp-1-pt-0.2
300119,30,Rastrigin,0.3,1,1,cma-es-ppmf-dp-1-pt-0.3
300119,30,Rastrigin,0.4,1,1,cma-es-ppmf-dp-1-pt-0.4
300119,30,Rastrigin,0.5,1,1,cma-es-ppmf-dp-1-pt-0.5
300119,30,Rastrigin,0.1,2,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Rastrigin,0.2,2,1,cma-es-ppmf-dp-2-pt-0.2
300119,30,Rastrigin,0.3,2,1,cma-es-ppmf-dp-2-pt-0.3
300119,30,Rastrigin,0.4,2,1,cma-es-ppmf-dp-2-pt-0.4
300119,30,Rastrigin,0.5,2,1,cma-es-ppmf-dp-2-pt-0.5
300119,30,Rastrigin,0.1,10,1,cma-es-ppmf-dp-10-pt-0.1
300119,30,Rastrigin,0.2,10,1,cma-es-ppmf-dp-10-pt-0.2
300119,30,Rastrigin,0.3,10,1,cma-es-ppmf-dp-10-pt-0.3
300119,30,Rastrigin,0.4,10,1,cma-es-ppmf-dp-10-pt-0.4
300119,30,Rastrigin,0.5,10,1,cma-es-ppmf-dp-10-pt-0.5
300119,30,Rastrigin,0.1,50,1,cma-es-ppmf-dp-50-pt-0.1
300119,30,Rastrigin,0.2,50,1,cma-es-ppmf-dp-50-pt-0.2
300119,30,Rastrigin,0.3,50,1,cma-es-ppmf-dp-50-pt-0.3
300119,30,Rastrigin,0.4,50,1,cma-es-ppmf-dp-50-pt-0.4
300119,30,Rastrigin,0.5,50,1,cma-es-ppmf-dp-50-pt-0.5
300119,30,Rastrigin,0.1,100,1,cma-es-ppmf-dp-100-pt-0.1
300119,30,Rastrigin,0.2,100,1,cma-es-ppmf-dp-100-pt-0.2
300119,30,Rastrigin,0.3,100,1,cma-es-ppmf-dp-100-pt-0.3
300119,30,Rastrigin,0.4,100,1,cma-es-ppmf-dp-100-pt-0.4
300119,30,Rastrigin,0.5,100,1,cma-es-ppmf-dp-100-pt-0.5
500199,50,Rastrigin,0.1,0.1,1,cma-es-ppmf-dp-0.1-pt-0.1
500199,50,Rastrigin,0.2,0.1,1,cma-es-ppmf-dp-0.1-pt-0.2
500199,50,Rastrigin,0.3,0.1,1,cma-es-ppmf-dp-0.1-pt-0.3
500199,50,Rastrigin,0.4,0.1,1,cma-es-ppmf-dp-0.1-pt-0.4
500199,50,Rastrigin,0.5,0.1,1,cma-es-ppmf-dp-0.1-pt-0.5
500199,50,Rastrigin,0.1,0.3,1,cma-es-ppmf-dp-0.3-pt-0.1
500199,50,Rastrigin,0.2,0.3,1,cma-es-ppmf-dp-0.3-pt-0.2
500199,50,Rastrigin,0.3,0.3,1,cma-es-ppmf-dp-0.3-pt-0.3
500199,50,Rastrigin,0.4,0.3,1,cma-es-ppmf-dp-0.3-pt-0.4
500199,50,Rastrigin,0.5,0.3,1,cma-es-ppmf-dp-0.3-pt-0.5
500199,50,Rastrigin,0.1,0.5,1,cma-es-ppmf-dp-0.5-pt-0.1
500199,50,Rastrigin,0.2,0.5,1,cma-es-ppmf-dp-0.5-pt-0.2
500199,50,Rastrigin,0.3,0.5,1,cma-es-ppmf-dp-0.5-pt-0.3
500199,50,Rastrigin,0.4,0.5,1,cma-es-ppmf-dp-0.5-pt-0.4
500199,50,Rastrigin,0.5,0.5,1,cma-es-ppmf-dp-0.5-pt-0.5
500199,50,Rastrigin,0.1,1,1,cma-es-ppmf-dp-1-pt-0.1
500199,50,Rastrigin,0.2,1,1,cma-es-ppmf-dp-1-pt-0.2
500199,50,Rastrigin,0.3,1,1,cma-es-ppmf-dp-1-pt-0.3
500199,50,Rastrigin,0.4,1,1,cma-es-ppmf-dp-1-pt-0.4
500199,50,Rastrigin,0.5,1,1,cma-es-ppmf-dp-1-pt-0.5
500199,50,Rastrigin,0.1,2,1,cma-es-ppmf-dp-2-pt-0.1
500199,50,Rastrigin,0.2,2,1,cma-es-ppmf-dp-2-pt-0.2
500199,50,Rastrigin,0.3,2,1,cma-es-ppmf-dp-2-pt-0.3
500199,50,Rastrigin,0.4,2,1,cma-es-ppmf-dp-2-pt-0.4
500199,50,Rastrigin,0.5,2,1,cma-es-ppmf-dp-2-pt-0.5
500199,50,Rastrigin,0.1,10,1,cma-es-ppmf-dp-10-pt-0.1
500199,50,Rastrigin,0.2,10,1,cma-es-ppmf-dp-10-pt-0.2
500199,50,Rastrigin,0.3,10,1,cma-es-ppmf-dp-10-pt-0.3
500199,50,Rastrigin,0.4,10,1,cma-es-ppmf-dp-10-pt-0.4
500199,50,Rastrigin,0.5,10,1,cma-es-ppmf-dp-10-pt-0.5
500199,50,Rastrigin,0.1,50,1,cma-es-ppmf-dp-50-pt-0.1
500199,50,Rastrigin,0.2,50,1,cma-es-ppmf-dp-50-pt-0.2
500199,50,Rastrigin,0.3,50,1,cma-es-ppmf-dp-50-pt-0.3
500199,50,Rastrigin,0.4,50,1,cma-es-ppmf-dp-50-pt-0.4
500199,50,Rastrigin,0.5,50,1,cma-es-ppmf-dp-50-pt-0.5
500199,50,Rastrigin,0.1,100,1,cma-es-ppmf-dp-100-pt-0.1
500199,50,Rastrigin,0.2,100,1,cma-es-ppmf-dp-100-pt-0.2
500199,50,Rastrigin,0.3,100,1,cma-es-ppmf-dp-100-pt-0.3
500199,50,Rastrigin,0.4,100,1,cma-es-ppmf-dp-100-pt-0.4
500199,50,Rastrigin,0.5,100,1,cma-es-ppmf-dp-100-pt-0.5
6751,2,Schaffer,0.1,0.1,1,cma-es-ppmf-dp-0.1-pt-0.1
7247,2,Schaffer,0.2,0.1,1,cma-es-ppmf-dp-0.1-pt-0.2
8239,2,Schaffer,0.3,0.1,1,cma-es-ppmf-dp-0.1-pt-0.3
11327,2,Schaffer,0.4,0.1,1,cma-es-ppmf-dp-0.1-pt-0.4
9591,2,Schaffer,0.5,0.1,1,cma-es-ppmf-dp-0.1-pt-0.5
4183,2,Schaffer,0.1,0.3,1,cma-es-ppmf-dp-0.3-pt-0.1
4975,2,Schaffer,0.2,0.3,1,cma-es-ppmf-dp-0.3-pt-0.2
5695,2,Schaffer,0.3,0.3,1,cma-es-ppmf-dp-0.3-pt-0.3
7887,2,Schaffer,0.4,0.3,1,cma-es-ppmf-dp-0.3-pt-0.4
7591,2,Schaffer,0.5,0.3,1,cma-es-ppmf-dp-0.3-pt-0.5
3919,2,Schaffer,0.1,0.5,1,cma-es-ppmf-dp-0.5-pt-0.1
4391,2,Schaffer,0.2,0.5,1,cma-es-ppmf-dp-0.5-pt-0.2
5151,2,Schaffer,0.3,0.5,1,cma-es-ppmf-dp-0.5-pt-0.3
7079,2,Schaffer,0.4,0.5,1,cma-es-ppmf-dp-0.5-pt-0.4
14007,2,Schaffer,0.5,0.5,1,cma-es-ppmf-dp-0.5-pt-0.5
3799,2,Schaffer,0.1,1,1,cma-es-ppmf-dp-1-pt-0.1
4503,2,Schaffer,0.2,1,1,cma-es-ppmf-dp-1-pt-0.2
5559,2,Schaffer,0.3,1,1,cma-es-ppmf-dp-1-pt-0.3
7775,2,Schaffer,0.4,1,1,cma-es-ppmf-dp-1-pt-0.4
9879,2,Schaffer,0.5,1,1,cma-es-ppmf-dp-1-pt-0.5
3735,2,Schaffer,0.1,2,1,cma-es-ppmf-dp-2-pt-0.1
4391,2,Schaffer,0.2,2,1,cma-es-ppmf-dp-2-pt-0.2
8191,2,Schaffer,0.3,2,1,cma-es-ppmf-dp-2-pt-0.3
14687,2,Schaffer,0.4,2,1,cma-es-ppmf-dp-2-pt-0.4
9335,2,Schaffer,0.5,2,1,cma-es-ppmf-dp-2-pt-0.5
9383,2,Schaffer,0.1,10,1,cma-es-ppmf-dp-10-pt-0.1
16247,2,Schaffer,0.2,10,1,cma-es-ppmf-dp-10-pt-0.2
6175,2,Schaffer,0.3,10,1,cma-es-ppmf-dp-10-pt-0.3
17343,2,Schaffer,0.4,10,1,cma-es-ppmf-dp-10-pt-0.4
16767,2,Schaffer,0.5,10,1,cma-es-ppmf-dp-10-pt-0.5
9663,2,Schaffer,0.1,50,1,cma-es-ppmf-dp-50-pt-0.1
9407,2,Schaffer,0.2,50,1,cma-es-ppmf-dp-50-pt-0.2
5839,2,Schaffer,0.3,50,1,cma-es-ppmf-dp-50-pt-0.3
7535,2,Schaffer,0.4,50,1,cma-es-ppmf-dp-50-pt-0.4
11351,2,Schaffer,0.5,50,1,cma-es-ppmf-dp-50-pt-0.5
8911,2,Schaffer,0.1,100,1,cma-es-ppmf-dp-100-pt-0.1
8295,2,Schaffer,0.2,100,1,cma-es-ppmf-dp-100-pt-0.2
12135,2,Schaffer,0.3,100,1,cma-es-ppmf-dp-100-pt-0.3
11583,2,Schaffer,0.4,100,1,cma-es-ppmf-dp-100-pt-0.4
6559,2,Schaffer,0.5,100,1,cma-es-ppmf-dp-100-pt-0.5
21259,5,Schaffer,0.1,0.1,1,cma-es-ppmf-dp-0.1-pt-0.1
22019,5,Schaffer,0.2,0.1,1,cma-es-ppmf-dp-0.1-pt-0.2
22439,5,Schaffer,0.3,0.1,1,cma-es-ppmf-dp-0.1-pt-0.3
36939,5,Schaffer,0.4,0.1,1,cma-es-ppmf-dp-0.1-pt-0.4
16839,5,Schaffer,0.5,0.1,1,cma-es-ppmf-dp-0.1-pt-0.5
17099,5,Schaffer,0.1,0.3,1,cma-es-ppmf-dp-0.3-pt-0.1
18159,5,Schaffer,0.2,0.3,1,cma-es-ppmf-dp-0.3-pt-0.2
20959,5,Schaffer,0.3,0.3,1,cma-es-ppmf-dp-0.3-pt-0.3
24679,5,Schaffer,0.4,0.3,1,cma-es-ppmf-dp-0.3-pt-0.4
25179,5,Schaffer,0.5,0.3,1,cma-es-ppmf-dp-0.3-pt-0.5
15799,5,Schaffer,0.1,0.5,1,cma-es-ppmf-dp-0.5-pt-0.1
16359,5,Schaffer,0.2,0.5,1,cma-es-ppmf-dp-0.5-pt-0.2
20559,5,Schaffer,0.3,0.5,1,cma-es-ppmf-dp-0.5-pt-0.3
22039,5,Schaffer,0.4,0.5,1,cma-es-ppmf-dp-0.5-pt-0.4
21719,5,Schaffer,0.5,0.5,1,cma-es-ppmf-dp-0.5-pt-0.5
13979,5,Schaffer,0.1,1,1,cma-es-ppmf-dp-1-pt-0.1
15639,5,Schaffer,0.2,1,1,cma-es-ppmf-dp-1-pt-0.2
18899,5,Schaffer,0.3,1,1,cma-es-ppmf-dp-1-pt-0.3
24119,5,Schaffer,0.4,1,1,cma-es-ppmf-dp-1-pt-0.4
12959,5,Schaffer,0.5,1,1,cma-es-ppmf-dp-1-pt-0.5
14739,5,Schaffer,0.1,2,1,cma-es-ppmf-dp-2-pt-0.1
18019,5,Schaffer,0.2,2,1,cma-es-ppmf-dp-2-pt-0.2
22759,5,Schaffer,0.3,2,1,cma-es-ppmf-dp-2-pt-0.3
34539,5,Schaffer,0.4,2,1,cma-es-ppmf-dp-2-pt-0.4
22839,5,Schaffer,0.5,2,1,cma-es-ppmf-dp-2-pt-0.5
13079,5,Schaffer,0.1,10,1,cma-es-ppmf-dp-10-pt-0.1
14939,5,Schaffer,0.2,10,1,cma-es-ppmf-dp-10-pt-0.2
20639,5,Schaffer,0.3,10,1,cma-es-ppmf-dp-10-pt-0.3
14339,5,Schaffer,0.4,10,1,cma-es-ppmf-dp-10-pt-0.4
21739,5,Schaffer,0.5,10,1,cma-es-ppmf-dp-10-pt-0.5
23039,5,Schaffer,0.1,50,1,cma-es-ppmf-dp-50-pt-0.1
14879,5,Schaffer,0.2,50,1,cma-es-ppmf-dp-50-pt-0.2
19899,5,Schaffer,0.3,50,1,cma-es-ppmf-dp-50-pt-0.3
12819,5,Schaffer,0.4,50,1,cma-es-ppmf-dp-50-pt-0.4
15799,5,Schaffer,0.5,50,1,cma-es-ppmf-dp-50-pt-0.5
13139,5,Schaffer,0.1,100,1,cma-es-ppmf-dp-100-pt-0.1
17879,5,Schaffer,0.2,100,1,cma-es-ppmf-dp-100-pt-0.2
18799,5,Schaffer,0.3,100,1,cma-es-ppmf-dp-100-pt-0.3
18219,5,Schaffer,0.4,100,1,cma-es-ppmf-dp-100-pt-0.4
15159,5,Schaffer,0.5,100,1,cma-es-ppmf-dp-100-pt-0.5
100039,10,Schaffer,0.1,0.1,1,cma-es-ppmf-dp-0.1-pt-0.1
76999,10,Schaffer,0.2,0.1,1,cma-es-ppmf-dp-0.1-pt-0.2
75959,10,Schaffer,0.3,0.1,1,cma-es-ppmf-dp-0.1-pt-0.3
100039,10,Schaffer,0.4,0.1,1,cma-es-ppmf-dp-0.1-pt-0.4
50959,10,Schaffer,0.5,0.1,1,cma-es-ppmf-dp-0.1-pt-0.5
68639,10,Schaffer,0.1,0.3,1,cma-es-ppmf-dp-0.3-pt-0.1
77839,10,Schaffer,0.2,0.3,1,cma-es-ppmf-dp-0.3-pt-0.2
75759,10,Schaffer,0.3,0.3,1,cma-es-ppmf-dp-0.3-pt-0.3
100039,10,Schaffer,0.4,0.3,1,cma-es-ppmf-dp-0.3-pt-0.4
34239,10,Schaffer,0.5,0.3,1,cma-es-ppmf-dp-0.3-pt-0.5
84519,10,Schaffer,0.1,0.5,1,cma-es-ppmf-dp-0.5-pt-0.1
100039,10,Schaffer,0.2,0.5,1,cma-es-ppmf-dp-0.5-pt-0.2
77319,10,Schaffer,0.3,0.5,1,cma-es-ppmf-dp-0.5-pt-0.3
96319,10,Schaffer,0.4,0.5,1,cma-es-ppmf-dp-0.5-pt-0.4
42839,10,Schaffer,0.5,0.5,1,cma-es-ppmf-dp-0.5-pt-0.5
59839,10,Schaffer,0.1,1,1,cma-es-ppmf-dp-1-pt-0.1
85679,10,Schaffer,0.2,1,1,cma-es-ppmf-dp-1-pt-0.2
100039,10,Schaffer,0.3,1,1,cma-es-ppmf-dp-1-pt-0.3
53919,10,Schaffer,0.4,1,1,cma-es-ppmf-dp-1-pt-0.4
41919,10,Schaffer,0.5,1,1,cma-es-ppmf-dp-1-pt-0.5
65799,10,Schaffer,0.1,2,1,cma-es-ppmf-dp-2-pt-0.1
100039,10,Schaffer,0.2,2,1,cma-es-ppmf-dp-2-pt-0.2
89439,10,Schaffer,0.3,2,1,cma-es-ppmf-dp-2-pt-0.3
100039,10,Schaffer,0.4,2,1,cma-es-ppmf-dp-2-pt-0.4
43999,10,Schaffer,0.5,2,1,cma-es-ppmf-dp-2-pt-0.5
35159,10,Schaffer,0.1,10,1,cma-es-ppmf-dp-10-pt-0.1
41239,10,Schaffer,0.2,10,1,cma-es-ppmf-dp-10-pt-0.2
47079,10,Schaffer,0.3,10,1,cma-es-ppmf-dp-10-pt-0.3
41919,10,Schaffer,0.4,10,1,cma-es-ppmf-dp-10-pt-0.4
37239,10,Schaffer,0.5,10,1,cma-es-ppmf-dp-10-pt-0.5
43719,10,Schaffer,0.1,50,1,cma-es-ppmf-dp-50-pt-0.1
52959,10,Schaffer,0.2,50,1,cma-es-ppmf-dp-50-pt-0.2
55279,10,Schaffer,0.3,50,1,cma-es-ppmf-dp-50-pt-0.3
49999,10,Schaffer,0.4,50,1,cma-es-ppmf-dp-50-pt-0.4
48879,10,Schaffer,0.5,50,1,cma-es-ppmf-dp-50-pt-0.5
42199,10,Schaffer,0.1,100,1,cma-es-ppmf-dp-100-pt-0.1
39319,10,Schaffer,0.2,100,1,cma-es-ppmf-dp-100-pt-0.2
45359,10,Schaffer,0.3,100,1,cma-es-ppmf-dp-100-pt-0.3
39879,10,Schaffer,0.4,100,1,cma-es-ppmf-dp-100-pt-0.4
46839,10,Schaffer,0.5,100,1,cma-es-ppmf-dp-100-pt-0.5
300119,30,Schaffer,0.1,0.1,1,cma-es-ppmf-dp-0.1-pt-0.1
300119,30,Schaffer,0.2,0.1,1,cma-es-ppmf-dp-0.1-pt-0.2
300119,30,Schaffer,0.3,0.1,1,cma-es-ppmf-dp-0.1-pt-0.3
